from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,AT,WS,WD,RH,BP,to date,station
01-Jan-2020 - 00:00,37.06,55.52,5.44,3.85,5.04,3.98,18.94,,41.76,0.11,4.07,22.91,2.53,180.24,69.01,726.93,02-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
02-Jan-2020 - 00:00,33.36,55.23,9.99,3.59,7.07,4.29,16.88,,26.18,0.13,3.9,23.06,1.67,176.39,70.04,727.86,03-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
03-Jan-2020 - 00:00,31.21,49.04,20.09,5.14,13.67,5.59,18.75,0.97,20.39,0.14,4.61,23.36,0.8,213.42,69.14,726.43,04-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
04-Jan-2020 - 00:00,47.46,68.76,14.4,3.75,9.62,5.04,18.39,1.08,28.78,0.16,3.85,21.94,0.79,136.3,69.81,725.44,05-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
05-Jan-2020 - 00:00,57.7,83.32,12.06,4.56,8.97,5.04,18.38,0.83,34.91,0.16,4.32,21.79,0.97,128.64,68.3,726.05,06-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
06-Jan-2020 - 00:00,53.02,72.08,11.25,3.1,7.39,4.18,14.95,0.99,38.43,0.2,5.75,20.1,1.74,149.15,69.28,727.97,07-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
07-Jan-2020 - 00:00,36.33,57.16,10.77,3.7,7.73,4.1,17.31,1.05,30.6,0.13,4.16,24.71,1.66,182.94,72.75,727.06,08-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
08-Jan-2020 - 00:00,44.53,67.4,9.63,3.65,7.06,4.06,17.07,0.86,26.47,0.12,3.9,22.11,1.6,171.74,74.28,726.02,09-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
09-Jan-2020 - 00:00,41.78,66.69,10.6,3.24,7.13,4.07,17.69,0.88,27.39,0.13,3.9,23.26,1.33,158.68,67.17,725.68,10-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
10-Jan-2020 - 00:00,69.17,95.6,7.49,3.22,5.5,3.98,19.39,0.92,40.69,0.18,4.17,23.01,1.65,155.11,67.0,726.57,11-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
11-Jan-2020 - 00:00,61.29,87.89,12.27,3.86,8.61,4.53,16.82,0.83,44.29,0.15,3.88,22.52,1.43,149.66,63.09,727.84,12-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
12-Jan-2020 - 00:00,62.38,91.79,17.56,3.96,11.45,5.09,16.67,0.6,45.43,0.14,3.97,21.62,0.89,168.36,62.23,726.98,13-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
13-Jan-2020 - 00:00,56.4,90.43,26.0,6.64,18.11,5.96,19.19,,41.65,0.19,4.33,21.52,0.74,144.36,57.62,724.99,14-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
14-Jan-2020 - 00:00,48.88,81.81,22.73,7.97,17.57,6.08,19.76,0.84,44.11,0.18,3.83,21.45,1.03,147.49,55.14,724.57,15-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
15-Jan-2020 - 00:00,40.08,57.83,6.54,3.3,5.09,3.49,19.55,,55.82,0.12,3.86,22.21,2.07,171.71,52.36,725.21,16-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
16-Jan-2020 - 00:00,34.95,54.04,11.34,3.79,8.05,4.21,16.72,0.84,42.88,0.15,3.98,21.45,1.75,171.67,60.95,725.27,17-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
17-Jan-2020 - 00:00,34.58,58.9,15.56,4.72,10.89,4.85,17.4,1.0,39.64,0.14,3.9,22.09,1.52,158.9,61.28,725.58,18-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
18-Jan-2020 - 00:00,33.41,61.09,13.17,3.9,8.95,4.44,18.5,0.96,36.28,0.13,3.69,22.88,1.35,161.0,61.67,725.67,19-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
19-Jan-2020 - 00:00,30.28,54.94,14.77,4.61,10.59,4.71,15.45,,28.9,0.1,3.72,23.92,1.47,172.03,61.17,726.22,20-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
20-Jan-2020 - 00:00,36.93,67.56,19.34,7.0,14.98,5.75,18.43,1.02,28.54,0.14,3.77,23.14,1.2,175.42,63.16,726.91,21-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
21-Jan-2020 - 00:00,31.43,58.57,10.05,3.97,7.48,4.13,17.01,0.93,50.98,0.12,3.92,24.0,2.27,178.48,53.33,727.78,22-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
22-Jan-2020 - 00:00,31.68,52.68,8.11,3.08,5.81,3.7,18.15,0.86,48.19,0.13,3.85,23.2,2.22,164.97,54.61,728.92,23-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
23-Jan-2020 - 00:00,37.51,62.62,12.49,3.92,8.71,4.35,18.38,0.96,44.61,0.15,3.78,23.03,1.49,166.32,58.47,727.98,24-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
24-Jan-2020 - 00:00,37.99,68.52,17.41,6.18,13.21,5.34,17.62,0.95,34.76,0.17,3.71,22.75,0.95,144.21,54.81,727.28,25-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
25-Jan-2020 - 00:00,43.61,76.64,21.22,5.88,15.0,5.61,18.15,1.12,34.8,0.17,3.56,22.84,0.84,148.2,55.94,726.94,26-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
26-Jan-2020 - 00:00,53.11,92.79,24.49,9.66,19.71,6.42,17.6,1.03,45.49,0.16,3.89,23.87,1.03,185.1,54.41,725.74,27-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
27-Jan-2020 - 00:00,48.44,85.35,20.13,4.09,13.0,5.39,17.06,0.82,51.06,0.19,3.94,24.57,1.28,189.45,51.91,724.41,28-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
28-Jan-2020 - 00:00,52.49,91.29,26.91,5.49,17.74,6.31,17.54,0.93,37.34,0.18,3.62,24.33,0.91,195.77,54.65,724.82,29-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
29-Jan-2020 - 00:00,41.56,71.06,19.61,4.52,13.1,5.42,18.54,0.84,32.79,0.13,3.55,24.24,0.89,201.66,51.31,726.39,30-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
30-Jan-2020 - 00:00,45.43,85.01,21.2,5.88,15.04,5.43,16.76,0.93,42.75,0.18,4.44,23.87,0.86,177.38,52.94,725.75,31-Jan-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
31-Jan-2020 - 00:00,68.66,114.28,23.54,7.55,17.55,6.25,19.66,0.98,44.87,0.2,4.35,23.77,1.08,173.6,58.98,724.12,01-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
01-Feb-2020 - 00:00,49.07,81.2,9.06,3.34,6.46,3.89,17.15,1.31,50.97,0.19,5.11,22.52,2.06,186.57,60.64,724.67,02-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
02-Feb-2020 - 00:00,42.12,68.85,8.73,3.3,6.29,3.77,19.97,0.99,46.48,0.13,4.99,,2.13,179.33,59.25,727.07,03-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
03-Feb-2020 - 00:00,37.22,58.0,9.47,3.58,6.89,3.95,20.08,1.03,37.25,0.14,3.68,27.45,2.01,197.55,59.52,727.98,04-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
04-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,05-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
05-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,06-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
06-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,07-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
07-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,08-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
08-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,09-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
09-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,10-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
10-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,11-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
11-Feb-2020 - 00:00,28.0,48.0,6.2,4.8,6.3,4.5,19.1,,64.29,,,,,,,,12-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
12-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,13-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
13-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,14-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
14-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,15-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
15-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,16-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
16-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,17-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
17-Feb-2020 - 00:00,40.64,93.57,21.61,2.64,13.44,5.21,21.96,0.78,57.2,0.27,3.28,28.54,1.28,143.79,36.18,775.25,18-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
18-Feb-2020 - 00:00,32.23,70.0,18.28,4.63,13.08,5.12,20.4,0.82,60.84,0.22,2.82,27.03,1.06,138.7,33.76,774.89,19-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
19-Feb-2020 - 00:00,34.36,72.43,20.78,5.61,15.38,5.31,19.47,0.78,57.17,0.21,2.78,26.22,1.1,127.74,35.78,774.53,20-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
20-Feb-2020 - 00:00,33.75,68.69,13.08,4.71,10.57,4.37,20.86,0.84,62.16,0.16,2.82,27.07,1.16,128.03,37.21,774.48,21-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
21-Feb-2020 - 00:00,27.94,53.42,5.64,2.32,4.55,3.3,20.67,0.79,57.63,0.13,3.03,26.59,1.37,128.78,35.0,775.83,22-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
22-Feb-2020 - 00:00,18.18,45.93,7.74,2.55,5.87,3.69,20.96,0.69,49.32,0.16,2.76,26.7,1.27,128.43,32.78,776.29,23-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
23-Feb-2020 - 00:00,17.53,41.79,8.23,2.27,6.06,3.55,20.01,0.69,48.69,0.12,2.59,26.87,1.18,127.79,35.64,775.58,24-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
24-Feb-2020 - 00:00,29.94,57.98,11.51,2.31,7.82,4.23,20.53,0.79,58.02,0.13,2.76,27.58,1.19,128.07,37.75,773.65,25-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
25-Feb-2020 - 00:00,35.24,75.04,16.16,3.13,10.93,5.0,20.1,0.78,56.13,0.21,3.28,28.26,1.58,130.04,35.22,772.68,26-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
26-Feb-2020 - 00:00,38.16,73.93,8.07,2.34,5.84,3.86,20.66,0.84,61.94,0.23,2.88,28.44,1.21,128.76,35.38,773.4,27-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
27-Feb-2020 - 00:00,43.39,83.58,15.92,2.65,10.39,4.8,20.94,0.8,57.82,0.23,3.08,28.06,1.29,128.71,33.71,773.89,28-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
28-Feb-2020 - 00:00,37.93,77.19,16.41,3.06,10.48,4.48,21.77,0.79,58.02,0.17,2.96,27.73,1.4,128.6,37.02,772.93,29-Feb-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
29-Feb-2020 - 00:00,41.95,77.04,18.85,3.1,12.37,4.98,19.91,0.73,52.19,0.16,2.93,27.48,1.34,129.0,40.27,772.73,01-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
01-Mar-2020 - 00:00,35.19,71.25,12.06,2.52,8.28,4.03,19.38,0.7,50.37,0.14,2.67,28.09,1.45,128.78,43.0,772.83,02-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
02-Mar-2020 - 00:00,38.92,63.1,27.64,6.53,19.66,6.42,19.59,0.48,33.35,0.25,4.12,28.11,2.12,132.36,37.67,773.21,03-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
03-Mar-2020 - 00:00,43.03,74.0,31.6,8.48,23.55,6.79,20.66,0.32,20.07,0.19,2.62,28.19,1.27,128.16,42.17,772.9,04-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
04-Mar-2020 - 00:00,25.78,52.58,24.01,5.96,17.49,5.66,19.74,0.37,24.67,0.14,2.53,28.85,1.22,128.07,34.8,772.46,05-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
05-Mar-2020 - 00:00,36.93,84.47,27.21,5.44,18.72,6.11,21.32,0.52,35.04,0.17,2.56,27.22,1.14,127.92,30.47,771.8,06-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
06-Mar-2020 - 00:00,30.19,74.35,21.47,5.96,16.24,5.28,21.81,0.43,26.97,0.17,2.75,27.42,1.33,128.68,37.21,772.29,07-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
07-Mar-2020 - 00:00,26.3,75.68,18.27,4.35,13.19,4.97,21.45,0.44,28.09,0.15,2.59,28.64,1.36,128.6,34.74,773.46,08-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
08-Mar-2020 - 00:00,29.28,52.55,7.76,2.31,5.77,3.46,21.04,0.61,42.5,0.14,2.8,29.44,1.63,130.08,42.69,773.07,09-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
09-Mar-2020 - 00:00,34.62,59.39,12.68,2.43,8.45,4.12,18.73,0.48,31.6,0.21,3.75,29.6,2.05,131.94,41.83,772.18,10-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
10-Mar-2020 - 00:00,33.84,54.64,15.31,2.69,10.24,4.23,20.79,0.35,22.08,0.12,2.28,29.84,1.32,129.15,46.15,772.01,11-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
11-Mar-2020 - 00:00,28.08,59.66,20.32,5.12,14.8,5.19,23.05,0.34,21.4,0.14,2.44,30.1,1.43,129.33,40.73,772.56,12-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
12-Mar-2020 - 00:00,22.29,52.22,20.72,3.84,14.12,5.2,21.3,0.33,24.0,0.14,2.51,30.38,1.53,129.6,38.12,773.32,13-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
13-Mar-2020 - 00:00,23.75,55.2,19.68,4.16,13.69,4.99,20.54,0.45,34.15,0.15,2.51,30.78,1.36,128.99,40.17,773.36,14-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
14-Mar-2020 - 00:00,27.46,58.49,19.13,4.26,13.53,5.03,22.11,0.46,29.77,0.15,2.56,30.35,1.28,128.79,39.39,772.82,15-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
15-Mar-2020 - 00:00,26.19,53.34,11.6,2.76,8.18,3.94,21.93,0.56,37.73,0.13,2.33,30.13,1.25,128.64,39.39,772.84,16-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
16-Mar-2020 - 00:00,19.82,42.73,9.7,2.59,7.09,3.59,21.7,0.52,34.71,0.13,2.41,29.51,1.23,128.84,39.1,773.9,17-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
17-Mar-2020 - 00:00,20.19,42.33,9.3,3.16,7.36,3.74,24.87,0.51,33.54,0.11,2.26,29.72,1.34,128.83,41.27,774.39,18-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
18-Mar-2020 - 00:00,20.69,54.83,17.17,3.3,11.4,4.69,22.01,0.66,47.01,0.21,3.31,34.4,1.76,131.04,29.62,772.94,19-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
19-Mar-2020 - 00:00,25.69,54.9,20.12,3.51,13.53,4.74,20.94,0.65,46.64,0.22,2.51,30.41,1.53,130.16,37.18,772.98,20-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
20-Mar-2020 - 00:00,25.5,49.45,18.02,4.05,12.5,4.63,18.08,0.74,53.44,0.17,2.48,30.86,1.33,129.06,35.11,772.46,21-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
21-Mar-2020 - 00:00,25.4,70.57,19.36,4.5,13.58,4.96,20.39,0.55,36.68,0.16,2.36,30.07,1.29,128.91,28.35,772.57,22-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
22-Mar-2020 - 00:00,25.36,60.99,11.72,4.97,9.91,4.37,18.69,0.69,51.28,0.19,2.36,29.7,1.2,128.74,32.61,772.55,23-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
23-Mar-2020 - 00:00,32.64,64.52,15.78,4.28,11.39,4.28,21.93,0.64,44.6,0.17,2.47,30.78,1.2,128.81,39.14,772.22,24-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
24-Mar-2020 - 00:00,31.01,59.23,5.59,2.24,4.48,3.46,18.45,0.5,33.47,0.14,2.36,31.77,1.28,129.11,40.59,771.35,25-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
25-Mar-2020 - 00:00,24.89,48.46,5.85,2.5,4.66,3.37,20.03,0.49,32.37,0.13,2.35,31.6,1.33,128.99,37.66,771.42,26-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
26-Mar-2020 - 00:00,22.91,49.09,4.06,2.11,3.46,3.29,20.2,0.49,31.81,0.17,2.91,31.71,1.8,131.22,34.33,772.23,27-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
27-Mar-2020 - 00:00,29.7,59.17,7.53,2.08,5.23,3.43,19.91,0.48,31.16,0.15,2.58,31.36,1.45,129.71,33.56,773.34,28-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
28-Mar-2020 - 00:00,33.84,60.95,8.58,2.55,6.25,3.8,18.79,0.47,29.96,0.19,2.53,31.16,1.34,129.34,31.39,772.72,29-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
29-Mar-2020 - 00:00,36.12,65.19,7.04,2.27,5.1,3.52,21.29,0.46,29.41,0.19,2.42,32.2,1.32,129.28,31.59,771.76,30-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
30-Mar-2020 - 00:00,38.5,63.83,7.51,1.87,5.11,3.51,18.59,0.37,21.71,0.18,2.41,32.16,1.31,129.2,33.86,772.32,31-Mar-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
31-Mar-2020 - 00:00,31.79,56.59,6.94,2.3,5.28,3.13,20.91,,,0.17,2.37,32.28,1.29,129.14,33.75,,01-Apr-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
01-Apr-2020 - 00:00,37.81,65.73,11.67,2.45,7.81,4.02,24.25,,,0.2,2.69,32.17,1.42,129.65,34.48,,02-Apr-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
02-Apr-2020 - 00:00,41.84,71.67,7.17,2.38,5.19,3.68,21.2,0.25,9.6,0.24,2.52,33.34,1.57,130.26,34.36,770.71,03-Apr-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
03-Apr-2020 - 00:00,38.02,67.04,5.14,2.19,4.21,3.19,18.72,0.1,0.55,0.19,2.52,33.83,1.49,130.0,34.96,771.36,04-Apr-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
04-Apr-2020 - 00:00,35.1,62.15,4.33,2.31,3.63,3.32,15.96,0.1,0.13,0.15,2.47,32.48,1.35,129.32,35.75,772.34,05-Apr-2020 - 00:00,"Collector Office, Yadgir - KSPCB"
