from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,Ozone,SO2,CO,to date,station
23-Mar-2020 - 00:00,23.48,990.08,92.22,45.92,55.94,176.33,236.59,1.3,1.97,13.37,24.62,26.08,9.58,21.01,53.13,25.48,0.73,24-Mar-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
24-Mar-2020 - 00:00,23.3,988.96,103.05,49.46,58.63,122.45,175.37,2.07,3.7,28.2,25.76,23.15,11.11,21.37,37.75,27.14,0.78,25-Mar-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
25-Mar-2020 - 00:00,23.89,989.15,63.58,28.56,59.54,188.53,275.47,1.38,3.7,28.2,27.04,13.21,9.98,15.16,36.93,21.36,0.61,26-Mar-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
26-Mar-2020 - 00:00,23.21,990.36,68.92,33.44,60.0,121.49,281.48,3.31,3.7,28.2,25.24,6.81,3.36,6.37,32.55,22.09,0.5,27-Mar-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
27-Mar-2020 - 00:00,22.01,992.37,42.92,21.75,66.49,105.16,178.2,3.16,3.7,28.2,21.36,6.68,4.7,7.22,29.84,19.89,0.44,28-Mar-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
28-Mar-2020 - 00:00,22.2,992.5,29.22,15.23,64.54,208.08,273.42,3.56,3.7,28.2,20.07,6.63,2.92,5.91,32.73,18.19,0.45,29-Mar-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
29-Mar-2020 - 00:00,22.89,990.37,52.52,18.85,56.41,209.53,295.78,3.42,3.7,28.2,18.82,7.48,2.35,5.9,49.25,16.96,0.38,30-Mar-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
30-Mar-2020 - 00:00,22.69,990.48,61.04,31.0,54.93,205.43,282.32,3.85,3.7,28.2,20.3,11.67,2.4,8.17,54.96,21.47,0.45,31-Mar-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
31-Mar-2020 - 00:00,23.35,989.19,61.46,27.33,54.05,184.29,282.7,1.85,3.7,28.2,19.06,11.18,2.35,7.86,54.91,21.78,0.42,01-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
01-Apr-2020 - 00:00,23.86,988.24,55.66,24.44,56.26,200.67,278.32,1.73,3.7,28.2,19.73,11.43,2.84,8.39,45.51,23.28,0.46,02-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
02-Apr-2020 - 00:00,23.53,988.62,51.51,20.1,51.79,216.04,289.01,3.82,3.7,28.2,18.85,6.5,2.24,5.29,57.01,18.8,0.39,03-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
03-Apr-2020 - 00:00,22.83,989.86,59.26,28.8,47.6,219.19,285.48,3.64,3.7,28.2,18.68,11.03,2.4,7.83,64.35,25.25,0.43,04-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
04-Apr-2020 - 00:00,23.05,989.61,67.06,33.86,51.0,217.0,295.73,2.13,3.7,28.2,18.44,16.32,2.63,10.82,53.51,21.49,0.53,05-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
05-Apr-2020 - 00:00,24.02,990.42,87.09,43.92,51.91,196.19,190.97,2.01,3.7,28.2,20.36,20.74,4.52,14.72,67.4,27.22,0.66,06-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
06-Apr-2020 - 00:00,25.56,989.13,103.43,53.45,47.39,213.01,283.47,1.97,,,22.48,17.0,2.97,11.48,80.2,27.59,0.63,07-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
07-Apr-2020 - 00:00,24.66,987.29,92.04,24.09,48.09,203.47,273.22,2.56,,,20.73,8.64,2.26,6.45,59.6,24.21,0.41,08-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
08-Apr-2020 - 00:00,24.41,987.76,78.65,22.8,44.2,214.88,281.52,3.81,,,17.89,9.44,2.28,6.88,61.65,21.08,0.4,09-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
09-Apr-2020 - 00:00,23.89,988.19,75.5,31.91,47.09,208.12,292.55,2.26,,,17.59,14.59,2.39,9.71,62.74,25.48,0.5,10-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
10-Apr-2020 - 00:00,25.04,989.15,105.51,58.79,46.78,207.86,278.59,1.57,,,20.8,23.78,4.95,16.69,55.2,26.94,0.73,11-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11-Apr-2020 - 00:00,26.51,990.02,108.21,45.95,45.63,202.57,247.77,1.07,,,21.58,18.58,4.61,13.65,67.62,25.66,0.68,12-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
12-Apr-2020 - 00:00,25.86,987.8,90.79,34.83,44.16,216.87,298.19,1.96,,,20.62,12.13,2.51,8.5,62.19,28.75,0.55,13-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
13-Apr-2020 - 00:00,26.49,985.76,131.36,58.41,45.64,208.56,292.57,1.64,,,22.26,22.04,3.39,14.49,52.03,36.51,0.76,14-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
14-Apr-2020 - 00:00,27.39,986.37,129.78,48.5,45.54,159.04,173.54,0.64,,,21.97,30.47,3.8,19.3,51.56,24.85,0.9,15-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
15-Apr-2020 - 00:00,27.44,985.91,190.72,48.94,40.09,196.39,208.25,1.19,,,23.97,25.74,8.01,20.23,48.39,24.87,,16-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
16-Apr-2020 - 00:00,27.13,984.55,174.57,58.28,39.32,194.72,278.04,1.55,,,25.17,23.82,4.95,16.71,57.41,27.55,,17-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
17-Apr-2020 - 00:00,27.47,984.36,83.84,18.33,38.21,185.25,188.54,1.55,,,20.76,9.45,2.52,7.09,75.98,22.58,,18-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
18-Apr-2020 - 00:00,26.04,986.38,109.44,20.47,46.05,185.62,103.38,1.82,,,23.38,10.51,2.63,7.73,66.08,18.51,,19-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
19-Apr-2020 - 00:00,24.98,985.71,59.1,25.46,52.72,220.91,282.02,1.76,,,25.16,16.27,3.39,11.42,50.01,22.33,,20-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
20-Apr-2020 - 00:00,24.48,986.66,84.35,35.42,51.59,119.98,225.45,0.96,,,25.03,21.61,4.9,15.49,39.2,17.87,,21-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
21-Apr-2020 - 00:00,25.03,986.94,78.29,29.65,48.7,206.33,234.69,1.68,,,22.63,14.07,2.59,9.6,65.46,22.27,,22-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
22-Apr-2020 - 00:00,25.5,985.52,102.68,44.45,46.04,217.1,279.65,1.04,,,21.67,22.27,3.42,14.63,60.41,19.97,,23-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
23-Apr-2020 - 00:00,26.15,984.71,104.75,41.72,42.35,147.13,185.56,1.11,,,22.74,19.5,2.8,12.66,57.38,24.18,,24-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
24-Apr-2020 - 00:00,26.46,983.3,115.17,56.42,45.74,210.95,131.94,1.07,,,26.87,22.13,3.56,14.68,65.29,25.99,,25-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
25-Apr-2020 - 00:00,26.86,983.54,74.05,20.34,42.37,175.98,177.4,1.06,,,21.8,13.27,3.45,9.87,71.02,18.19,,26-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
26-Apr-2020 - 00:00,23.94,986.4,114.01,37.42,57.29,91.6,114.02,2.05,,,26.89,12.11,2.51,8.49,57.46,21.66,,27-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
27-Apr-2020 - 00:00,24.35,989.18,51.12,22.22,59.23,217.03,108.91,2.69,,,27.34,8.71,2.68,6.83,67.29,17.32,,28-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
28-Apr-2020 - 00:00,25.52,989.06,72.08,34.77,54.45,193.06,120.27,1.53,,,27.15,11.73,2.79,8.51,75.46,21.38,,29-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
29-Apr-2020 - 00:00,26.84,986.55,107.49,49.89,51.58,190.63,140.69,1.05,,,28.69,15.59,2.73,10.53,71.45,22.5,,30-Apr-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
30-Apr-2020 - 00:00,27.53,986.11,117.29,45.21,48.62,203.42,130.51,1.22,,,31.29,13.32,2.75,9.33,78.59,23.18,,01-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
01-May-2020 - 00:00,27.53,984.33,134.29,48.94,51.29,202.59,117.16,1.75,,,35.0,12.12,2.61,8.57,78.22,24.32,,02-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
02-May-2020 - 00:00,26.71,984.22,114.95,29.49,52.78,202.21,112.62,3.37,,,32.6,9.54,2.67,7.25,72.5,22.92,,03-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
03-May-2020 - 00:00,25.41,985.46,78.09,26.02,58.25,29.94,140.75,2.36,,,28.16,9.33,2.6,7.08,60.28,18.86,,04-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
04-May-2020 - 00:00,25.41,986.74,49.39,19.46,56.05,207.97,185.53,0.91,,,25.89,11.53,2.77,8.39,68.41,21.56,,05-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
05-May-2020 - 00:00,26.88,985.05,99.52,45.41,49.82,212.59,258.51,1.1,,,24.14,16.7,2.92,11.26,83.27,29.93,,06-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
06-May-2020 - 00:00,26.5,984.69,169.91,51.34,47.2,161.85,153.23,1.43,3.83,35.94,23.35,22.07,3.01,14.19,65.45,28.88,1.2,07-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
07-May-2020 - 00:00,26.69,985.3,79.03,23.65,43.33,229.79,136.43,1.42,1.47,11.56,20.81,12.46,2.66,8.8,104.2,24.67,0.56,08-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
08-May-2020 - 00:00,28.16,983.6,101.48,31.4,45.2,214.84,168.05,1.15,1.97,8.99,24.06,12.78,2.61,8.93,108.12,20.49,0.66,09-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
09-May-2020 - 00:00,28.64,984.39,127.85,,45.93,199.65,114.1,1.73,2.61,9.1,29.3,12.73,2.57,8.87,108.34,31.98,0.74,10-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
10-May-2020 - 00:00,25.43,985.81,116.75,,53.34,100.53,115.87,2.24,,,28.83,12.37,2.57,8.68,77.41,21.62,0.65,11-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11-May-2020 - 00:00,25.62,986.69,89.99,45.94,55.49,162.91,110.61,2.07,1.85,12.04,28.43,16.66,2.81,11.15,80.45,22.16,0.72,12-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
12-May-2020 - 00:00,27.0,986.27,83.22,34.44,50.74,180.28,86.87,1.43,1.77,12.01,30.87,14.24,2.73,9.8,86.77,23.03,0.7,13-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
13-May-2020 - 00:00,26.85,985.02,143.35,53.86,52.6,112.4,177.98,0.85,1.89,12.61,33.13,17.18,2.71,11.34,78.67,24.4,0.79,14-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
14-May-2020 - 00:00,27.03,984.08,113.3,40.34,52.41,183.42,201.1,1.02,1.68,13.57,28.13,22.04,3.37,14.47,68.96,20.47,0.75,15-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
15-May-2020 - 00:00,27.52,983.36,108.52,37.1,43.38,214.91,311.1,2.27,1.7,13.7,23.2,16.51,2.75,11.03,85.87,27.87,0.63,16-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
16-May-2020 - 00:00,27.53,982.32,141.66,67.76,41.67,225.9,301.59,2.0,1.7,13.7,21.53,20.2,2.65,12.91,90.89,30.61,0.79,17-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
17-May-2020 - 00:00,27.85,980.91,160.08,73.22,40.96,175.07,297.61,1.3,1.7,13.7,21.23,30.51,3.19,18.83,82.34,33.96,0.92,18-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
18-May-2020 - 00:00,27.74,979.98,159.4,75.08,39.84,203.31,295.62,1.56,1.7,13.7,19.85,36.38,10.96,28.3,72.91,39.68,1.04,19-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
19-May-2020 - 00:00,28.19,979.47,171.99,76.1,37.66,204.74,233.25,1.07,1.7,13.7,18.1,46.1,14.03,35.95,73.86,35.01,1.15,20-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
20-May-2020 - 00:00,31.5,979.02,140.19,50.72,35.02,227.62,310.91,1.84,1.7,13.7,17.44,28.67,3.91,18.43,84.62,31.9,0.74,21-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
21-May-2020 - 00:00,36.68,978.1,148.14,34.04,34.49,233.03,308.33,2.52,1.7,13.7,15.25,28.65,7.22,21.13,85.24,32.37,0.79,22-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
22-May-2020 - 00:00,37.22,978.22,180.02,62.31,37.01,219.73,279.79,1.21,1.7,13.7,18.6,53.93,15.5,41.32,66.76,44.64,1.07,23-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
23-May-2020 - 00:00,38.13,979.57,194.18,48.74,36.28,192.9,249.36,1.49,1.58,14.11,19.1,42.66,15.05,34.96,49.33,23.68,0.63,24-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
24-May-2020 - 00:00,38.66,980.15,169.67,33.35,33.55,214.99,291.36,1.88,1.59,15.12,16.17,22.44,3.23,14.57,65.87,27.41,0.66,25-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
25-May-2020 - 00:00,37.7,979.59,161.27,48.85,36.61,224.51,295.69,2.03,2.33,17.78,17.81,32.14,9.56,24.89,63.15,41.72,0.95,26-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
26-May-2020 - 00:00,38.43,978.16,182.09,32.99,35.75,211.54,274.91,1.88,3.81,43.52,15.35,36.74,17.86,34.11,47.24,22.86,0.93,27-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
27-May-2020 - 00:00,38.73,976.9,164.98,29.42,35.01,208.85,171.54,1.58,2.81,28.93,17.31,26.33,3.06,16.5,88.55,24.85,0.67,28-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
28-May-2020 - 00:00,36.19,978.93,268.28,29.35,47.86,175.72,115.78,3.51,1.07,6.6,22.31,14.4,3.17,10.25,70.11,21.86,0.65,29-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
29-May-2020 - 00:00,33.69,981.92,63.52,17.61,59.36,162.2,132.81,2.84,0.87,7.85,28.74,18.53,3.29,12.54,53.38,17.89,0.66,30-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
30-May-2020 - 00:00,33.81,983.93,50.76,17.79,58.44,200.51,134.59,2.33,0.87,5.06,34.4,16.12,3.39,11.35,61.45,19.75,0.63,31-May-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
31-May-2020 - 00:00,32.24,985.76,34.31,15.41,67.57,176.53,158.22,1.79,0.71,5.73,32.95,13.56,2.83,9.52,47.76,17.19,0.6,01-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
01-Jun-2020 - 00:00,33.65,985.97,77.1,38.35,60.95,206.99,149.97,0.7,1.79,20.46,28.81,26.7,3.58,17.13,82.99,22.18,0.84,02-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
02-Jun-2020 - 00:00,35.07,984.01,91.58,36.33,53.83,221.27,211.84,1.11,2.5,37.3,28.85,23.2,3.01,14.8,72.4,19.74,0.73,03-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
03-Jun-2020 - 00:00,34.79,982.17,111.59,43.44,56.78,181.0,204.65,0.92,1.84,19.58,28.86,35.25,6.04,23.68,59.6,27.11,0.96,04-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
04-Jun-2020 - 00:00,34.17,981.39,125.44,51.34,57.9,114.13,185.91,1.39,2.49,23.77,34.56,36.45,11.08,28.42,44.88,26.1,1.05,05-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
05-Jun-2020 - 00:00,34.22,981.56,75.0,32.94,56.73,174.22,161.88,1.33,1.56,12.5,31.88,28.72,4.5,18.95,51.89,21.39,0.85,06-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
06-Jun-2020 - 00:00,34.83,980.94,70.51,25.02,56.17,204.43,128.26,1.64,1.22,7.81,27.72,22.06,3.78,14.83,57.32,21.76,0.77,07-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
07-Jun-2020 - 00:00,34.48,980.67,82.02,32.1,57.97,173.45,166.79,1.13,1.46,10.48,26.33,23.58,3.48,15.38,48.67,20.86,0.78,08-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
08-Jun-2020 - 00:00,35.41,979.96,92.68,36.82,54.14,204.18,218.16,1.07,1.35,12.37,25.27,27.14,3.63,17.39,68.16,22.79,0.85,09-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
09-Jun-2020 - 00:00,36.82,979.64,135.28,52.85,51.42,198.28,237.03,1.07,1.96,21.82,29.48,37.73,7.31,26.02,63.53,23.75,1.06,10-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
10-Jun-2020 - 00:00,36.85,978.51,140.73,46.81,53.19,167.29,206.66,0.96,2.04,22.31,28.32,38.9,12.92,31.22,70.98,22.34,1.14,11-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11-Jun-2020 - 00:00,37.07,976.54,129.89,47.23,52.28,208.16,180.53,0.83,1.66,21.37,30.35,35.78,4.57,22.75,75.9,16.09,0.96,12-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
12-Jun-2020 - 00:00,37.61,976.6,144.99,52.77,50.47,201.31,128.3,1.49,1.82,13.55,33.74,32.43,4.77,21.14,70.46,17.4,0.98,13-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
13-Jun-2020 - 00:00,35.86,976.49,143.76,41.23,55.97,122.46,159.73,1.6,1.49,14.62,27.63,30.37,3.86,19.3,30.36,16.74,0.93,14-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
14-Jun-2020 - 00:00,37.13,976.62,152.46,55.52,53.12,200.5,162.86,1.04,1.79,18.46,30.26,28.39,4.49,18.76,45.42,15.46,0.95,15-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
15-Jun-2020 - 00:00,37.98,976.54,121.62,37.49,46.41,193.81,198.47,1.23,1.66,12.53,31.39,28.56,3.33,17.91,70.64,20.78,0.85,16-Jun-2020 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
