from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,to date,station
24-Apr-2020 - 00:00,21.35,41.35,0.06,10.02,9.1,18.09,2.67,1.12,0.4,0.59,0.0,0.0,0.13,25-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
25-Apr-2020 - 00:00,19.34,47.74,0.06,13.1,11.87,28.62,4.99,1.04,0.15,0.31,0.01,0.0,0.05,26-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
26-Apr-2020 - 00:00,18.04,43.25,,15.38,13.88,38.43,2.88,1.16,0.07,0.07,0.0,0.08,0.0,27-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
27-Apr-2020 - 00:00,15.32,32.0,,13.43,12.12,35.27,2.83,1.35,0.1,0.13,0.01,0.12,0.05,28-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
28-Apr-2020 - 00:00,15.62,34.48,,11.6,10.45,33.35,2.88,1.52,0.09,0.16,0.0,0.11,0.04,29-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
29-Apr-2020 - 00:00,14.67,32.07,,9.65,8.7,27.73,2.82,1.52,0.08,0.15,0.0,0.13,0.15,30-Apr-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
30-Apr-2020 - 00:00,18.87,42.65,,9.12,8.21,27.2,2.91,1.71,0.15,0.22,0.06,0.24,0.28,01-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
01-May-2020 - 00:00,17.33,38.82,,8.49,7.66,25.31,2.85,1.62,0.16,0.14,0.0,0.11,0.16,02-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
02-May-2020 - 00:00,19.47,38.49,,8.26,7.44,24.98,2.87,1.74,0.19,0.34,0.0,0.12,0.23,03-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
03-May-2020 - 00:00,19.32,39.61,,8.16,7.35,25.11,2.87,1.64,0.08,0.11,0.0,0.08,0.04,04-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
04-May-2020 - 00:00,19.26,45.85,,7.88,7.1,24.97,2.96,1.88,0.07,0.31,0.01,0.06,0.17,05-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
05-May-2020 - 00:00,24.67,51.67,,7.5,6.75,23.61,2.88,1.92,0.14,0.34,0.04,0.12,0.21,06-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
06-May-2020 - 00:00,24.3,50.92,,7.24,6.52,22.88,2.86,1.98,0.29,0.48,0.08,0.16,0.33,07-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
07-May-2020 - 00:00,9.83,29.32,,11.52,10.38,39.83,2.87,1.76,0.12,0.42,0.46,0.07,0.41,08-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
08-May-2020 - 00:00,9.96,23.67,,10.82,9.73,39.28,2.7,1.73,0.12,0.27,0.18,0.07,0.27,09-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
09-May-2020 - 00:00,14.38,33.14,,9.26,8.33,33.86,2.75,1.86,0.12,0.34,0.0,0.01,0.15,10-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
10-May-2020 - 00:00,17.32,36.85,,8.8,7.92,32.53,2.75,1.73,0.14,0.14,0.0,0.01,0.08,11-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
11-May-2020 - 00:00,12.06,28.9,,8.39,7.55,31.03,2.76,1.9,0.13,0.32,0.02,0.03,0.22,12-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
12-May-2020 - 00:00,23.57,50.01,,8.33,7.5,30.99,2.79,2.13,0.23,0.43,0.01,0.05,0.35,13-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
13-May-2020 - 00:00,13.44,32.04,,7.97,7.17,29.51,2.75,1.99,0.12,0.29,0.0,0.02,0.23,14-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
14-May-2020 - 00:00,18.19,43.63,,7.62,6.85,28.45,2.77,2.19,0.16,0.34,0.02,0.03,0.27,15-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
15-May-2020 - 00:00,17.08,44.54,,7.42,6.67,27.84,2.8,2.06,0.14,0.26,0.01,0.02,0.15,16-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
16-May-2020 - 00:00,10.75,34.34,,7.29,6.55,27.62,2.85,2.43,0.1,0.29,0.04,0.03,0.2,17-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
17-May-2020 - 00:00,14.45,35.93,,7.1,6.39,26.84,2.84,1.96,0.04,0.08,0.0,0.02,0.02,18-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
18-May-2020 - 00:00,21.82,47.21,,6.84,6.15,25.76,2.82,2.58,0.18,0.36,0.06,0.05,0.24,19-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
19-May-2020 - 00:00,17.95,48.68,,8.01,7.2,31.85,2.8,2.51,0.08,0.17,0.02,0.01,0.14,20-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
20-May-2020 - 00:00,8.64,32.93,,7.36,6.61,30.42,2.83,2.21,0.0,0.0,0.0,0.0,0.0,21-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
21-May-2020 - 00:00,8.23,19.65,,7.87,7.07,32.82,2.76,1.76,0.0,0.02,0.0,0.0,0.0,22-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
22-May-2020 - 00:00,9.8,24.91,,6.99,6.3,28.56,2.57,1.75,0.24,0.81,0.11,0.12,0.6,23-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
23-May-2020 - 00:00,16.19,48.49,,6.39,5.75,25.26,2.43,1.88,0.46,1.44,0.11,0.12,1.0,24-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
24-May-2020 - 00:00,15.88,43.38,,6.2,5.58,24.48,2.43,1.55,0.18,0.38,0.0,0.0,0.03,25-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
25-May-2020 - 00:00,17.79,45.89,,5.97,5.38,23.62,2.44,1.88,0.38,1.23,0.12,0.06,0.68,26-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
26-May-2020 - 00:00,13.65,34.75,,5.97,5.38,23.85,2.49,1.92,0.31,1.39,0.02,0.0,0.74,27-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
27-May-2020 - 00:00,18.28,39.23,,5.87,5.29,23.51,2.52,2.03,0.65,1.68,0.11,0.06,0.83,28-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
28-May-2020 - 00:00,12.08,26.76,,5.77,5.2,23.08,2.46,2.0,0.55,1.65,0.15,0.1,0.93,29-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
29-May-2020 - 00:00,12.15,33.77,,5.68,5.12,22.69,2.52,1.87,0.35,0.99,0.05,0.04,0.41,30-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
30-May-2020 - 00:00,8.55,21.26,,5.62,5.06,22.38,2.47,1.71,0.12,0.52,0.02,0.01,0.13,31-May-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
31-May-2020 - 00:00,6.0,13.32,,5.46,4.92,21.69,2.49,1.53,0.05,0.12,0.0,0.0,0.0,01-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
01-Jun-2020 - 00:00,8.37,19.44,,5.37,4.84,21.34,2.43,1.82,0.19,0.71,0.07,0.04,0.33,02-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
02-Jun-2020 - 00:00,5.49,13.75,,5.31,4.78,21.02,2.49,1.77,0.14,0.96,0.03,0.02,0.47,03-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
03-Jun-2020 - 00:00,5.95,14.44,,5.16,4.65,20.28,2.46,1.68,0.21,0.55,0.02,0.03,0.28,04-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
04-Jun-2020 - 00:00,4.01,15.79,,5.12,4.61,20.19,2.45,1.7,0.16,0.62,0.03,0.04,0.28,05-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
05-Jun-2020 - 00:00,6.57,17.56,,4.99,4.5,19.69,2.56,1.85,0.24,1.05,0.1,0.29,0.67,06-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
06-Jun-2020 - 00:00,7.14,14.94,,4.86,4.39,19.1,2.6,2.06,0.35,1.52,0.38,0.23,1.02,07-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
07-Jun-2020 - 00:00,9.94,21.35,,4.79,4.32,18.86,2.49,1.72,0.25,0.61,0.0,0.01,0.19,08-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
08-Jun-2020 - 00:00,10.6,29.22,,4.76,4.29,18.75,2.59,2.17,0.41,1.43,0.15,0.05,0.93,09-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
09-Jun-2020 - 00:00,16.49,41.72,,4.77,4.29,19.07,2.68,2.28,0.84,3.19,0.24,0.22,2.97,10-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
10-Jun-2020 - 00:00,15.62,39.5,,4.71,4.25,18.83,2.64,2.26,0.72,2.58,0.22,0.14,1.51,11-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
11-Jun-2020 - 00:00,10.84,28.28,1.54,4.62,4.16,18.35,2.65,2.15,0.47,1.9,0.17,0.38,1.12,12-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
12-Jun-2020 - 00:00,21.04,48.3,1.55,4.58,4.13,18.28,2.68,2.88,2.48,7.85,2.01,1.72,8.6,13-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
13-Jun-2020 - 00:00,15.14,36.11,1.54,4.58,4.12,18.37,2.7,2.3,1.42,4.68,0.49,0.35,4.0,14-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
14-Jun-2020 - 00:00,7.46,16.01,1.55,4.49,4.04,17.77,2.61,1.77,0.13,0.43,0.0,0.0,0.02,15-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
15-Jun-2020 - 00:00,10.31,36.72,,4.56,4.1,18.29,2.71,2.06,0.55,2.61,0.0,0.0,1.1,16-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
16-Jun-2020 - 00:00,6.29,14.91,0.1,1.37,0.67,3.91,2.63,1.99,0.2,0.88,0.09,0.03,0.37,17-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
17-Jun-2020 - 00:00,,,,,,,,,,,,,,18-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
18-Jun-2020 - 00:00,,,,,,,,,,,,,,19-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
19-Jun-2020 - 00:00,14.84,28.16,2.12,3.74,3.63,4.89,2.76,2.85,0.22,0.72,0.14,0.14,0.75,20-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
20-Jun-2020 - 00:00,20.39,40.51,2.14,3.57,3.45,4.57,2.76,2.53,0.14,0.27,0.03,0.08,0.19,21-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
21-Jun-2020 - 00:00,6.22,14.15,2.4,2.6,1.6,1.51,2.74,2.06,0.05,0.2,0.0,0.0,0.05,22-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
22-Jun-2020 - 00:00,12.87,28.45,2.19,5.22,3.31,4.78,2.64,2.51,0.49,1.65,0.33,0.2,1.08,23-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
23-Jun-2020 - 00:00,16.05,40.47,2.2,5.67,3.6,5.28,2.63,2.56,0.56,1.91,0.46,0.35,1.34,24-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
24-Jun-2020 - 00:00,22.88,49.58,2.34,3.34,2.09,2.42,2.69,2.73,1.52,4.4,1.06,1.11,3.51,25-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
25-Jun-2020 - 00:00,10.96,26.03,2.29,3.91,2.46,3.2,2.65,2.22,0.32,1.04,0.03,0.14,0.61,26-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
26-Jun-2020 - 00:00,6.19,19.07,2.39,3.06,1.91,2.09,2.67,2.17,0.22,1.15,0.01,0.02,0.52,27-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
27-Jun-2020 - 00:00,12.17,27.41,2.13,5.41,3.43,5.05,2.69,2.44,0.36,1.37,0.09,0.12,0.7,28-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
28-Jun-2020 - 00:00,9.63,21.89,2.01,7.2,4.58,7.23,2.66,2.16,0.3,1.04,0.03,0.03,0.41,29-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
29-Jun-2020 - 00:00,11.7,24.14,2.18,5.34,3.39,4.94,2.74,2.39,0.14,0.18,0.01,0.02,0.13,30-Jun-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
30-Jun-2020 - 00:00,11.65,29.78,2.34,3.74,2.36,2.93,2.65,2.43,0.0,0.0,0.0,0.0,0.0,01-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
01-Jul-2020 - 00:00,8.04,21.29,2.36,3.08,1.92,2.11,2.76,2.29,0.0,0.0,0.0,0.0,0.0,02-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
02-Jul-2020 - 00:00,15.21,30.49,2.4,2.6,1.61,1.48,2.77,2.57,0.0,0.0,0.0,0.0,0.0,03-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
03-Jul-2020 - 00:00,7.95,14.78,2.7,2.79,1.68,1.7,2.67,2.25,0.0,0.0,0.0,0.0,0.0,04-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
04-Jul-2020 - 00:00,8.58,24.76,,40.76,29.24,35.08,2.07,2.19,0.0,0.0,0.0,0.0,0.0,05-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
05-Jul-2020 - 00:00,4.79,23.09,,33.25,23.83,28.49,2.11,1.87,0.0,0.0,0.0,0.0,0.0,06-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
06-Jul-2020 - 00:00,10.47,29.03,,25.35,16.1,24.63,2.15,2.13,0.0,0.0,0.0,0.0,0.0,07-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
07-Jul-2020 - 00:00,6.94,16.32,,14.51,6.58,17.47,2.45,2.37,0.0,0.0,0.0,0.0,0.0,08-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
08-Jul-2020 - 00:00,,,,,,,,,,,,,,09-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
09-Jul-2020 - 00:00,,,,,,,,,,,,,,10-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
10-Jul-2020 - 00:00,6.9,20.47,,16.83,7.63,20.53,2.04,1.98,0.0,0.0,0.0,0.0,0.0,11-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
11-Jul-2020 - 00:00,14.64,27.98,,13.68,6.22,16.69,2.03,1.9,0.0,0.0,0.0,0.0,0.0,12-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
12-Jul-2020 - 00:00,3.94,10.39,,12.49,5.68,15.18,2.0,1.71,0.0,0.0,0.0,0.0,0.0,13-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
13-Jul-2020 - 00:00,7.41,20.65,6.19,11.77,5.36,14.32,2.01,2.03,0.0,0.0,0.0,0.0,0.0,14-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
14-Jul-2020 - 00:00,7.74,20.82,6.34,11.31,5.15,13.77,2.02,2.01,0.0,0.0,0.0,0.0,0.0,15-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
15-Jul-2020 - 00:00,6.82,17.49,6.34,11.28,5.14,13.82,2.04,1.94,0.0,0.0,0.0,0.0,0.0,16-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
16-Jul-2020 - 00:00,3.86,11.46,6.51,10.93,4.98,13.42,2.08,2.05,0.0,0.0,0.0,0.0,0.0,17-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
17-Jul-2020 - 00:00,11.43,23.31,6.64,10.61,4.83,13.05,2.1,2.35,0.0,0.0,0.0,0.0,0.0,18-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
18-Jul-2020 - 00:00,11.97,30.78,10.68,9.77,5.85,11.2,2.0,2.26,0.0,0.0,0.0,0.0,0.0,19-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
19-Jul-2020 - 00:00,7.57,20.52,11.42,16.13,10.12,18.18,1.88,1.86,0.0,0.0,0.0,0.0,0.0,20-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
20-Jul-2020 - 00:00,8.5,23.56,11.46,16.03,10.08,18.05,1.89,2.0,0.0,0.0,0.0,0.0,0.0,21-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
21-Jul-2020 - 00:00,11.78,27.62,11.46,16.03,10.08,18.06,1.9,2.2,0.0,0.0,0.0,0.0,0.0,22-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
22-Jul-2020 - 00:00,,,,,,,,,,,,,,23-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
23-Jul-2020 - 00:00,,,,,,,,,,,,,,24-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
24-Jul-2020 - 00:00,5.91,17.33,11.06,14.09,9.07,18.03,1.94,2.19,0.0,0.0,0.0,0.0,0.0,25-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
25-Jul-2020 - 00:00,5.67,18.08,11.06,14.09,9.07,18.03,2.01,2.1,0.0,0.0,0.0,0.0,0.0,26-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
26-Jul-2020 - 00:00,8.64,21.52,11.06,14.1,9.08,18.04,2.3,2.06,0.0,0.0,0.0,0.0,0.0,27-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
27-Jul-2020 - 00:00,14.99,36.16,11.06,14.1,9.08,18.03,2.02,2.61,0.0,0.0,0.0,0.0,0.0,28-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
28-Jul-2020 - 00:00,7.53,20.37,11.38,13.75,8.77,17.39,1.92,2.58,0.0,0.0,0.0,0.0,0.0,29-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
29-Jul-2020 - 00:00,4.42,10.6,11.58,13.66,7.67,17.05,1.91,2.34,0.0,0.0,0.0,0.0,0.0,30-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
30-Jul-2020 - 00:00,3.99,10.8,11.88,14.72,7.61,16.47,1.92,2.14,0.0,0.0,0.0,0.0,0.0,31-Jul-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
31-Jul-2020 - 00:00,2.75,8.44,12.53,14.17,6.57,15.14,1.92,2.07,0.0,0.0,0.0,0.0,0.0,01-Aug-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
01-Aug-2020 - 00:00,9.73,12.1,12.06,13.12,5.13,16.14,1.93,2.21,0.0,0.0,0.0,0.0,0.0,02-Aug-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
02-Aug-2020 - 00:00,5.92,12.15,13.09,12.26,6.24,15.18,1.9,2.19,0.0,0.0,0.0,0.0,0.0,03-Aug-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
03-Aug-2020 - 00:00,3.08,14.86,13.49,14.29,5.81,12.91,1.92,2.13,0.0,0.0,0.0,0.0,0.0,04-Aug-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
04-Aug-2020 - 00:00,3.02,18.45,13.59,17.91,6.3,8.87,2.13,2.06,0.0,0.0,0.0,0.0,0.0,05-Aug-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
05-Aug-2020 - 00:00,5.0,16.57,13.8,17.9,8.51,7.85,2.35,2.15,0.0,0.0,0.0,0.0,0.0,06-Aug-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
06-Aug-2020 - 00:00,3.12,22.81,14.35,17.5,9.51,7.47,2.09,2.16,0.0,0.0,0.0,0.0,0.0,07-Aug-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
07-Aug-2020 - 00:00,6.3,12.31,5.83,9.24,6.22,7.65,1.84,2.48,0.0,0.0,0.0,0.0,0.0,08-Aug-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
08-Aug-2020 - 00:00,6.51,10.65,6.36,7.33,4.93,5.6,1.88,2.26,0.0,0.0,0.0,0.0,0.0,09-Aug-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
09-Aug-2020 - 00:00,1.76,5.88,6.46,6.89,4.63,5.27,1.88,2.11,0.0,0.0,0.0,0.0,0.0,10-Aug-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
10-Aug-2020 - 00:00,10.91,18.98,6.57,6.51,4.38,4.95,1.85,2.39,0.0,0.0,0.0,0.0,0.0,11-Aug-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
11-Aug-2020 - 00:00,5.36,22.78,6.7,19.84,16.55,8.07,2.2,2.16,0.0,0.0,0.0,0.0,0.0,12-Aug-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
12-Aug-2020 - 00:00,8.42,32.81,7.31,17.77,13.14,6.18,1.91,2.48,0.0,0.0,0.0,0.0,0.0,13-Aug-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
