from date,NO2,NH3,CO,Ozone,SO2,Benzene,PM10,PM2.5,NOx,NO,WS,WD,AT,RH,SR,MP-Xylene,Eth-Benzene,to date,station
01-Jan-2020 - 00:00,18.98,2.72,1.99,30.9,32.87,0.0,320.48,155.06,16.06,0.86,3.09,169.65,,68.77,152.58,0.09,0.03,02-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
02-Jan-2020 - 00:00,18.65,2.77,1.67,0.1,28.5,0.0,255.5,112.58,16.72,0.67,3.45,144.72,,85.81,0.53,0.07,0.02,03-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
03-Jan-2020 - 00:00,17.64,3.11,1.46,8.26,23.06,0.0,262.31,89.14,23.38,17.68,2.83,215.79,,94.72,7.92,4.64,4.61,04-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
04-Jan-2020 - 00:00,17.87,2.87,1.41,8.78,25.25,0.0,138.97,54.87,17.49,3.99,3.2,188.09,,86.81,50.06,0.06,0.02,05-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
05-Jan-2020 - 00:00,23.26,2.17,1.63,11.73,23.05,0.0,207.28,90.72,10.46,,3.08,150.19,,82.45,90.72,0.07,0.02,06-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
06-Jan-2020 - 00:00,23.35,2.16,1.92,19.19,21.51,0.0,267.26,135.77,10.34,,3.77,169.87,,79.77,143.52,0.06,0.03,07-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
07-Jan-2020 - 00:00,23.17,2.18,3.14,20.25,25.98,0.0,387.74,231.74,10.57,,3.15,151.61,,77.83,149.48,0.01,0.09,08-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
08-Jan-2020 - 00:00,22.39,2.28,1.65,18.88,22.35,0.0,223.17,133.95,11.62,,3.14,188.82,,73.77,159.57,0.0,0.07,09-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
09-Jan-2020 - 00:00,21.62,2.39,1.5,22.18,2.24,0.0,227.27,120.34,12.61,0.44,3.23,167.94,,81.64,45.8,0.0,0.05,10-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
10-Jan-2020 - 00:00,22.51,2.25,1.72,17.99,1.68,0.0,229.4,104.56,11.38,2.47,3.23,142.78,,74.86,98.12,0.0,0.06,11-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
11-Jan-2020 - 00:00,22.22,2.31,2.01,28.66,2.38,0.0,276.86,130.73,11.76,1.95,3.09,150.18,,73.81,154.08,0.0,0.08,12-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
12-Jan-2020 - 00:00,22.55,2.26,2.07,30.53,2.55,0.0,314.48,140.47,11.25,1.45,3.71,144.82,,68.58,238.53,0.0,0.08,13-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
13-Jan-2020 - 00:00,24.95,1.92,2.29,23.45,2.94,9.68,393.97,180.41,7.95,,3.01,148.83,,67.7,235.46,0.01,0.06,14-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
14-Jan-2020 - 00:00,25.27,15.62,2.0,9.15,7.16,0.61,351.85,173.05,69.38,182.21,3.25,173.44,,72.21,212.78,0.01,0.0,15-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
15-Jan-2020 - 00:00,18.6,1.72,0.77,13.83,24.91,0.05,305.17,175.27,12.16,12.64,3.29,181.15,,80.04,120.8,43.13,43.14,16-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
16-Jan-2020 - 00:00,10.35,1.62,1.26,21.75,19.13,0.0,256.65,151.04,18.06,8.71,3.65,186.13,,73.55,183.22,65.53,65.53,17-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
17-Jan-2020 - 00:00,11.26,1.5,1.32,10.85,16.48,0.0,310.73,146.14,16.87,5.74,3.14,172.53,,77.86,192.32,37.39,37.39,18-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
18-Jan-2020 - 00:00,11.26,1.5,1.43,7.58,15.45,0.0,262.99,133.82,16.77,5.52,3.09,171.25,,79.37,111.6,0.0,0.0,19-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
19-Jan-2020 - 00:00,10.9,1.54,1.73,15.67,14.62,0.0,322.95,157.3,17.25,6.53,3.04,164.23,,72.68,144.62,0.0,0.0,20-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
20-Jan-2020 - 00:00,10.04,1.65,1.3,16.38,13.37,0.0,242.87,134.22,18.42,8.38,3.16,190.49,,77.91,73.91,16.11,16.11,21-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
21-Jan-2020 - 00:00,8.82,1.81,1.16,21.89,11.45,0.0,280.79,83.4,20.04,11.21,3.23,188.54,,78.13,95.2,65.53,65.53,22-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
22-Jan-2020 - 00:00,8.8,1.82,1.36,23.97,10.73,0.0,326.32,113.37,20.03,11.25,3.46,161.43,,76.0,154.56,65.53,65.53,23-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
23-Jan-2020 - 00:00,7.36,2.02,1.39,9.33,9.78,0.0,320.72,192.49,22.06,14.7,2.98,183.33,,90.34,68.54,65.53,65.53,24-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
24-Jan-2020 - 00:00,7.13,1.74,1.45,28.36,10.35,0.0,414.09,62.26,18.4,18.83,3.79,143.78,,61.25,170.74,65.53,65.53,25-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
25-Jan-2020 - 00:00,4.66,1.8,1.76,27.2,17.59,0.0,354.2,53.58,16.24,16.94,3.45,160.93,,70.75,166.33,65.53,65.53,26-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
26-Jan-2020 - 00:00,5.7,1.27,1.95,36.13,27.78,0.0,359.95,215.99,12.23,6.54,2.97,137.86,,70.86,175.9,65.53,65.53,27-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
27-Jan-2020 - 00:00,5.72,2.16,1.79,19.22,13.42,0.0,311.52,186.95,22.56,9.13,3.58,146.58,,58.1,206.77,65.53,65.53,28-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
28-Jan-2020 - 00:00,5.02,1.37,1.0,23.81,12.24,0.0,182.89,109.74,13.18,8.16,3.16,212.24,,72.25,163.83,49.15,49.15,29-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
29-Jan-2020 - 00:00,4.65,1.42,1.42,17.71,11.07,0.0,221.25,132.76,13.61,8.97,3.08,159.68,,75.92,133.63,0.0,0.0,30-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
30-Jan-2020 - 00:00,4.1,1.49,1.59,23.68,10.84,0.0,173.7,104.19,14.33,10.23,2.92,142.54,,76.79,107.05,0.0,0.0,31-Jan-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
31-Jan-2020 - 00:00,5.58,1.29,1.58,24.18,10.63,0.0,200.57,120.07,12.34,9.42,3.01,154.42,,64.72,182.26,0.0,0.0,01-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
01-Feb-2020 - 00:00,6.06,2.36,0.18,28.03,11.32,0.0,175.52,105.3,23.26,28.93,2.91,189.77,,72.54,105.16,0.0,0.0,02-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
02-Feb-2020 - 00:00,5.51,1.3,0.08,32.37,10.41,0.0,167.37,100.42,12.45,7.15,3.5,195.63,,70.32,124.55,0.0,0.0,03-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
03-Feb-2020 - 00:00,5.76,1.26,0.0,44.7,9.72,0.0,123.67,74.21,12.17,6.74,3.19,191.73,,64.18,142.78,0.0,0.0,04-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
04-Feb-2020 - 00:00,5.28,1.33,0.72,47.51,11.35,0.0,128.17,76.92,12.78,7.5,3.1,201.29,,65.77,74.86,0.0,0.0,05-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
05-Feb-2020 - 00:00,4.84,1.39,2.22,26.79,12.23,0.0,124.88,74.95,13.4,8.56,3.7,185.69,,85.43,39.98,0.0,0.0,06-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
06-Feb-2020 - 00:00,5.29,13.64,2.2,8.73,9.07,0.0,143.32,86.29,33.8,30.71,2.98,173.13,,83.79,56.16,0.0,0.0,07-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
07-Feb-2020 - 00:00,2.28,2.05,0.98,6.41,1.57,0.0,72.69,43.64,10.04,7.76,3.03,186.49,,91.46,11.54,0.0,0.0,08-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
08-Feb-2020 - 00:00,2.94,1.82,1.14,8.18,1.24,0.0,68.07,40.84,8.35,5.41,3.26,172.75,,91.98,10.84,0.0,0.0,09-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
09-Feb-2020 - 00:00,3.34,1.69,1.14,1.75,0.78,0.0,54.14,32.49,7.29,4.18,2.81,133.03,,91.01,25.21,0.0,0.0,10-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
10-Feb-2020 - 00:00,6.35,1.83,1.75,22.83,26.49,0.0,191.29,114.8,19.83,19.45,3.28,137.38,,58.8,224.91,42.69,42.69,11-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
11-Feb-2020 - 00:00,6.11,1.24,2.05,33.85,33.64,0.0,233.18,139.92,12.05,7.19,3.22,155.07,,67.52,235.73,65.53,65.53,12-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
12-Feb-2020 - 00:00,6.6,1.68,1.93,34.31,30.85,0.0,195.34,117.18,17.74,17.91,3.31,135.9,,65.03,244.21,51.97,51.97,13-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
13-Feb-2020 - 00:00,8.35,0.9,1.71,26.96,26.83,0.0,239.12,143.48,8.47,5.37,3.61,122.36,,60.61,264.41,65.53,65.53,14-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
14-Feb-2020 - 00:00,5.58,1.29,1.7,30.16,27.91,0.0,238.79,143.27,12.42,6.84,3.25,140.27,,57.49,263.51,48.41,48.41,15-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
15-Feb-2020 - 00:00,5.61,1.29,1.8,37.04,27.69,0.0,213.32,127.98,12.31,6.7,2.95,147.4,,60.03,249.67,0.0,0.0,16-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
16-Feb-2020 - 00:00,5.06,1.61,2.08,44.41,29.06,0.0,256.54,153.98,16.15,13.39,3.32,162.78,,64.16,234.57,30.03,30.03,17-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
17-Feb-2020 - 00:00,4.89,1.38,1.99,40.21,29.25,0.0,260.49,156.29,13.24,9.18,3.52,143.94,,62.93,259.38,65.53,65.53,18-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
18-Feb-2020 - 00:00,5.12,1.47,1.97,34.88,41.36,0.0,186.4,108.93,14.27,11.4,3.15,140.58,,52.57,281.55,52.46,52.46,19-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
19-Feb-2020 - 00:00,5.05,1.62,2.07,22.66,51.79,0.0,164.73,98.83,16.0,13.91,3.08,173.02,,57.94,240.86,19.94,19.94,20-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
20-Feb-2020 - 00:00,5.63,1.28,1.85,16.11,49.98,0.0,111.77,67.05,12.36,7.04,3.15,183.93,,67.06,182.2,30.72,30.72,21-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
21-Feb-2020 - 00:00,5.01,1.36,0.93,24.61,35.83,0.0,58.68,35.21,13.14,8.13,3.61,198.05,,64.18,238.48,0.0,0.0,22-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
22-Feb-2020 - 00:00,4.52,1.43,1.13,37.25,28.91,0.0,89.0,53.41,13.79,9.27,3.05,191.81,,60.1,225.28,0.0,0.0,23-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
23-Feb-2020 - 00:00,4.64,1.41,1.62,33.25,29.01,0.0,116.5,69.89,13.6,8.96,3.59,188.1,,59.78,184.64,0.0,0.0,24-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
24-Feb-2020 - 00:00,4.01,1.5,1.81,9.85,36.23,0.0,89.25,53.54,14.51,10.51,3.18,152.89,,83.12,19.23,0.0,0.0,25-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
25-Feb-2020 - 00:00,3.62,1.56,1.21,15.62,34.69,0.0,38.52,23.1,15.12,11.6,3.18,188.84,,88.89,30.14,0.0,0.0,26-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
26-Feb-2020 - 00:00,4.06,1.5,1.51,17.79,28.19,0.0,78.76,47.27,14.41,10.37,3.02,135.44,,78.83,185.9,0.0,0.0,27-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
27-Feb-2020 - 00:00,4.49,1.43,2.16,23.37,33.8,0.0,113.91,68.35,13.82,9.33,2.94,125.64,,63.29,292.16,0.0,0.0,28-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
28-Feb-2020 - 00:00,4.04,1.49,2.03,25.18,37.79,0.0,122.35,73.4,14.38,10.82,3.26,166.4,,67.61,235.92,0.0,0.0,29-Feb-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
29-Feb-2020 - 00:00,3.94,1.9,1.93,48.79,40.25,0.0,122.78,73.65,19.03,18.52,3.49,165.74,,67.01,267.64,0.0,0.0,01-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
01-Mar-2020 - 00:00,3.73,1.53,2.03,45.32,44.04,0.0,137.67,82.59,14.79,11.08,3.09,160.3,,67.12,204.34,0.0,0.0,02-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
02-Mar-2020 - 00:00,4.2,2.45,2.08,30.07,46.59,0.0,143.5,86.09,26.28,13.13,3.21,171.93,,67.81,158.11,0.0,0.0,03-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
03-Mar-2020 - 00:00,4.32,1.45,1.38,32.24,48.18,0.0,90.63,54.38,14.04,9.72,3.07,193.67,,61.8,208.48,0.0,0.0,04-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
04-Mar-2020 - 00:00,3.73,2.29,1.41,4.78,52.08,0.0,59.36,34.46,24.07,21.46,3.5,187.12,,78.19,90.8,17.71,17.71,05-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
05-Mar-2020 - 00:00,3.4,1.79,1.09,3.84,50.23,0.0,25.83,15.6,17.76,16.09,3.08,201.06,,82.67,82.08,36.78,36.78,06-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
06-Mar-2020 - 00:00,4.37,12.2,1.1,4.29,47.63,0.0,26.82,16.09,123.44,108.04,2.66,223.53,,78.02,93.44,0.7,0.7,07-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
07-Mar-2020 - 00:00,3.4,1.65,1.26,20.05,46.77,0.0,21.4,12.84,15.97,13.11,2.92,205.69,,82.12,83.31,0.0,0.0,08-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
08-Mar-2020 - 00:00,4.03,1.55,1.74,11.24,45.99,0.0,38.7,23.22,15.26,11.87,2.85,133.27,,84.44,111.77,0.0,0.0,09-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
09-Mar-2020 - 00:00,3.73,1.74,1.66,40.71,37.85,0.0,43.96,26.37,16.83,14.67,2.88,147.28,,49.28,334.6,0.0,0.0,10-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
10-Mar-2020 - 00:00,3.76,1.67,1.41,34.91,34.46,0.0,44.84,26.91,16.19,13.57,3.19,173.79,,66.54,136.46,0.0,0.0,11-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
11-Mar-2020 - 00:00,4.92,1.83,1.12,45.59,68.67,0.0,14.7,8.83,17.81,16.37,3.17,187.35,,48.77,166.8,0.0,0.0,12-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
12-Mar-2020 - 00:00,7.33,3.51,1.29,16.29,66.12,0.0,28.18,16.91,15.23,12.99,3.0,197.67,,73.67,106.07,0.0,0.0,13-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
13-Mar-2020 - 00:00,12.56,7.09,1.36,32.23,73.99,0.0,26.25,15.76,15.44,18.85,3.02,199.9,,67.64,216.23,0.0,0.0,14-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
14-Mar-2020 - 00:00,12.98,6.76,1.16,17.64,56.49,0.0,21.99,13.19,11.01,0.51,2.6,199.11,,80.3,169.3,0.0,0.0,15-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
15-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,16-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
16-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,17-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
17-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,18-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
18-Mar-2020 - 00:00,3.85,13.3,1.89,80.65,38.46,0.0,82.39,14.43,0.0,,2.88,135.65,31.68,37.76,80.89,0.0,0.0,19-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
19-Mar-2020 - 00:00,4.36,11.97,1.99,39.34,16.73,0.0,58.35,36.44,0.07,,3.03,215.04,30.09,55.95,149.72,0.0,0.0,20-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
20-Mar-2020 - 00:00,4.27,15.28,3.47,39.44,23.97,0.0,189.82,64.37,30.1,70.81,,,,,,0.0,0.0,21-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
21-Mar-2020 - 00:00,5.12,14.07,2.87,34.57,15.15,0.0,90.64,46.35,11.26,33.09,,,,,,0.0,0.0,22-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
22-Mar-2020 - 00:00,4.49,13.52,1.81,45.27,5.38,0.0,51.49,33.21,4.68,20.7,,,,,,0.0,0.0,23-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
23-Mar-2020 - 00:00,5.33,13.09,1.69,37.0,2.1,0.0,66.83,27.23,0.31,1.47,,,,,,0.0,0.0,24-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
24-Mar-2020 - 00:00,5.5,13.07,2.3,45.83,0.48,0.0,110.51,57.37,0.29,1.12,,,,,,0.0,0.0,25-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
25-Mar-2020 - 00:00,5.16,14.64,2.47,43.74,,0.0,112.23,67.21,17.81,37.74,,,,,,0.0,0.0,26-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
26-Mar-2020 - 00:00,5.88,13.37,2.56,41.3,0.01,0.0,134.93,62.69,4.1,150.78,,,,,,0.0,0.0,27-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
27-Mar-2020 - 00:00,5.46,13.1,2.11,54.52,,0.0,120.31,55.04,0.8,17.52,,,,,,0.0,0.0,28-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
28-Mar-2020 - 00:00,5.06,13.11,2.4,50.64,,0.0,148.84,67.6,0.57,0.62,,,,,,0.0,0.0,29-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
29-Mar-2020 - 00:00,4.4,13.4,2.17,61.2,,0.0,114.86,54.24,3.17,9.86,,,,,,0.0,0.0,30-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
30-Mar-2020 - 00:00,4.39,13.25,1.99,60.68,,0.0,91.21,43.31,1.25,2.71,,,,,,0.0,0.0,31-Mar-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
31-Mar-2020 - 00:00,5.54,13.41,2.16,58.66,,0.0,115.58,55.17,2.08,5.36,,,,,,0.0,0.0,01-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
01-Apr-2020 - 00:00,4.37,20.17,1.92,48.84,3.97,0.0,104.68,33.32,34.8,74.08,,,,,,0.0,0.0,02-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
02-Apr-2020 - 00:00,4.19,13.29,1.92,49.75,,0.0,78.1,40.67,0.74,0.86,,,,,,0.0,0.0,03-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
03-Apr-2020 - 00:00,6.11,13.57,1.97,95.38,,0.0,70.79,32.48,6.82,85.48,,,,,,0.0,0.0,04-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
04-Apr-2020 - 00:00,4.85,13.17,2.42,65.19,,0.0,99.45,57.97,0.58,1.2,,,,,,0.0,0.0,05-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
05-Apr-2020 - 00:00,4.37,13.34,1.98,65.61,,0.0,75.99,47.71,1.47,3.22,,,,,,0.0,0.0,06-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
06-Apr-2020 - 00:00,4.58,13.64,2.75,55.52,,0.0,155.83,68.01,4.32,11.75,,,,,,0.0,0.0,07-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
07-Apr-2020 - 00:00,4.21,13.49,2.18,70.33,,0.0,76.61,43.69,3.74,10.92,,,,,,0.0,0.0,08-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
08-Apr-2020 - 00:00,4.92,14.45,2.19,51.88,,0.0,61.51,32.61,13.41,16.81,,,,,,0.0,0.0,09-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
09-Apr-2020 - 00:00,5.26,13.41,1.92,79.26,,0.0,54.21,29.26,2.06,5.3,,,,,,0.0,0.0,10-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
10-Apr-2020 - 00:00,5.01,13.45,2.11,69.81,,0.0,70.95,42.35,2.27,5.37,,,,,,0.0,0.0,11-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
11-Apr-2020 - 00:00,4.77,13.53,2.26,71.92,,0.0,100.79,54.11,2.76,7.38,,,,,,0.0,0.0,12-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
12-Apr-2020 - 00:00,4.08,13.38,2.59,86.06,,0.0,105.36,33.76,1.99,5.04,,,,,,0.0,0.0,13-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
13-Apr-2020 - 00:00,4.81,14.06,2.46,78.99,,0.0,93.7,,10.33,30.78,,,,,,0.0,0.0,14-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
14-Apr-2020 - 00:00,5.32,13.37,2.68,68.19,,0.0,135.74,,1.8,4.35,,,,,,0.0,0.0,15-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
15-Apr-2020 - 00:00,5.09,14.01,2.21,76.16,,0.0,75.41,,5.43,17.04,,,,,,0.0,0.0,16-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
16-Apr-2020 - 00:00,4.97,13.47,2.23,93.7,,0.0,80.7,,3.17,9.15,,,,,,0.0,0.0,17-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
17-Apr-2020 - 00:00,5.14,13.13,1.99,81.63,,0.0,52.43,,0.48,0.63,,,,,,0.0,0.0,18-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
18-Apr-2020 - 00:00,6.21,14.76,1.96,68.59,,0.0,59.92,,20.29,49.35,,,,,,0.0,0.0,19-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
19-Apr-2020 - 00:00,5.07,13.48,3.2,70.32,,0.0,62.02,,3.64,24.45,,,,,,0.0,0.0,20-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
20-Apr-2020 - 00:00,5.48,13.14,2.36,69.79,,0.0,48.14,,0.93,6.6,,,,,,0.0,0.0,21-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
21-Apr-2020 - 00:00,4.93,13.42,1.79,35.97,,0.0,14.21,,2.95,49.09,,,,,,0.0,0.0,22-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
22-Apr-2020 - 00:00,5.57,13.12,1.88,35.2,,0.0,18.42,,0.6,30.15,,,,,,0.0,0.0,23-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
23-Apr-2020 - 00:00,5.19,13.11,1.92,60.09,,0.0,40.13,,0.44,0.64,,,,,,0.0,0.0,24-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
24-Apr-2020 - 00:00,11.25,10.91,1.89,48.19,75.66,0.0,21.69,24.63,12.47,28.39,2.88,205.15,24.31,80.57,37.5,0.0,0.0,25-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
25-Apr-2020 - 00:00,21.06,3.16,2.04,54.96,49.05,0.0,19.29,17.07,26.25,7.56,2.92,204.34,25.66,79.08,99.19,0.0,0.0,26-Apr-2020 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
