from date,NO,NOx,NO2,NH3,PM10,PM2.5,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
01-Jan-2020 - 00:00,47.86,74.75,26.88,24.29,199.56,133.67,5.36,1.22,46.02,27.79,39.51,32.13,21.68,68.72,,200.67,1.19,166.89,02-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
02-Jan-2020 - 00:00,38.52,64.42,25.9,19.97,144.15,102.59,5.13,0.97,38.59,29.58,32.55,24.68,23.18,72.31,,197.53,1.78,143.96,03-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
03-Jan-2020 - 00:00,42.79,69.67,26.88,17.99,157.17,107.16,5.57,1.06,98.56,22.45,36.38,32.56,22.39,71.27,,208.17,1.95,138.42,04-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
04-Jan-2020 - 00:00,26.84,56.64,29.8,17.62,131.66,88.57,5.52,1.12,74.78,29.72,28.01,24.98,21.67,66.9,,200.31,2.65,124.57,05-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
05-Jan-2020 - 00:00,69.03,88.53,19.5,17.36,160.3,96.91,7.25,1.29,,,,,24.11,64.27,,191.92,1.18,126.25,06-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
06-Jan-2020 - 00:00,62.88,82.78,19.9,16.22,133.97,71.35,7.5,1.3,,,,,26.0,63.39,,191.51,1.45,156.49,07-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
07-Jan-2020 - 00:00,61.29,80.99,19.7,16.16,160.77,106.16,9.44,1.54,,,,,25.46,73.89,,183.19,1.05,156.89,08-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
08-Jan-2020 - 00:00,60.04,77.69,17.66,14.64,122.04,77.8,9.74,1.18,62.56,,,,24.76,73.83,,200.6,1.53,175.68,09-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
09-Jan-2020 - 00:00,26.82,49.62,22.82,15.37,98.54,48.32,2.23,0.77,101.58,0.61,18.16,6.66,23.09,59.11,,202.13,2.6,108.62,10-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
10-Jan-2020 - 00:00,33.44,51.63,18.19,10.1,131.71,66.47,1.83,0.78,67.6,,,,24.7,60.37,,191.84,1.36,129.51,11-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
11-Jan-2020 - 00:00,48.68,69.57,20.89,14.33,162.7,90.67,2.77,1.25,,,,,26.57,63.76,,202.55,1.32,148.89,12-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
12-Jan-2020 - 00:00,66.07,86.2,20.13,22.82,207.51,133.04,3.21,1.71,,,,,25.98,71.97,,199.82,1.05,138.69,13-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
13-Jan-2020 - 00:00,68.63,79.2,10.57,26.41,125.96,82.2,2.77,0.99,25.53,0.58,4.63,3.02,25.14,81.41,,178.71,1.22,189.55,14-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
14-Jan-2020 - 00:00,60.35,73.55,13.2,17.65,104.7,44.36,3.84,0.72,,,,,23.69,71.89,,219.31,2.09,133.47,15-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
15-Jan-2020 - 00:00,36.58,51.8,15.22,22.79,83.91,26.65,2.55,0.54,54.56,,,,21.82,62.22,,213.78,1.87,182.6,16-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
16-Jan-2020 - 00:00,36.11,53.07,16.97,27.51,79.45,42.2,2.25,0.54,59.95,,,,20.16,62.95,,213.74,2.4,147.97,17-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
17-Jan-2020 - 00:00,20.8,44.02,23.21,25.0,78.29,42.83,1.63,0.52,70.64,,,,19.44,57.18,,213.24,2.64,112.17,18-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
18-Jan-2020 - 00:00,26.27,52.93,26.66,27.51,142.87,80.37,1.99,0.79,86.13,,,,22.19,61.07,,218.26,1.78,167.94,19-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
19-Jan-2020 - 00:00,39.38,63.65,24.27,26.75,139.18,77.83,2.53,0.92,,,,,23.74,63.61,,216.28,1.34,195.73,20-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
20-Jan-2020 - 00:00,42.64,61.08,18.44,22.66,130.64,78.55,2.89,1.0,70.1,,,,24.64,69.41,,212.97,1.24,177.14,21-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
21-Jan-2020 - 00:00,51.05,68.73,17.67,21.25,150.0,94.79,3.48,1.03,62.61,,,,24.25,68.57,,221.43,1.23,175.4,22-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
22-Jan-2020 - 00:00,49.98,68.31,18.34,21.12,158.19,93.47,3.56,1.02,,,,,24.85,67.08,,215.56,1.3,183.56,23-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
23-Jan-2020 - 00:00,39.31,59.06,19.75,20.29,132.21,76.95,3.11,0.99,,,,,26.29,63.83,,210.07,1.58,186.28,24-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
24-Jan-2020 - 00:00,51.15,69.1,18.02,20.79,134.67,78.44,11.35,1.09,,,,,26.0,65.55,,206.67,1.12,156.56,25-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
25-Jan-2020 - 00:00,40.23,63.69,23.45,22.24,148.71,103.63,1.73,0.98,116.32,1.43,66.82,41.59,25.89,66.51,,208.5,1.33,206.35,26-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
26-Jan-2020 - 00:00,47.24,71.0,23.76,21.29,147.88,104.09,3.29,1.09,,,,,25.45,69.86,,207.83,1.1,181.81,27-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
27-Jan-2020 - 00:00,52.34,67.85,15.5,19.0,128.22,85.71,3.53,0.91,,,,,23.98,75.29,,221.46,1.28,188.05,28-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
28-Jan-2020 - 00:00,55.85,68.77,12.92,18.96,74.28,30.99,3.21,0.62,85.63,0.24,5.84,4.9,23.73,74.81,,195.3,1.52,152.55,29-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
29-Jan-2020 - 00:00,43.12,59.31,16.18,22.37,79.6,13.81,2.4,0.4,,,,,22.01,64.98,,241.6,2.54,151.19,30-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
30-Jan-2020 - 00:00,36.82,61.14,24.33,29.83,112.98,48.66,2.25,0.63,,,,,21.86,56.42,,241.99,2.08,138.06,31-Jan-2020 - 00:00,"Vasai West, Mumbai - MPCB"
31-Jan-2020 - 00:00,35.33,59.01,23.68,29.2,130.45,69.59,2.74,0.82,115.78,,,,22.07,65.11,,236.56,1.63,191.46,01-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
01-Feb-2020 - 00:00,30.99,55.44,24.45,24.01,120.8,55.82,2.43,0.75,146.27,,,,23.31,62.43,,238.65,1.92,165.07,02-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
02-Feb-2020 - 00:00,57.9,79.1,21.2,22.27,153.8,85.25,3.52,0.95,,,,,24.6,66.8,,246.04,1.13,172.22,03-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
03-Feb-2020 - 00:00,52.44,71.49,19.05,20.26,148.52,102.77,3.22,0.96,120.18,,,,23.58,77.44,,232.14,1.18,176.5,04-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
04-Feb-2020 - 00:00,50.41,72.92,22.51,21.08,149.24,100.33,3.69,0.91,70.86,,,,23.5,68.42,,236.79,1.89,162.85,05-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
05-Feb-2020 - 00:00,27.93,54.84,26.91,31.12,96.77,40.08,2.43,0.62,,,,,23.92,49.06,,254.4,2.41,150.91,06-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
06-Feb-2020 - 00:00,37.42,61.48,24.07,39.37,101.46,44.76,2.78,0.55,,,,,22.96,58.08,,272.41,2.32,183.43,07-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
07-Feb-2020 - 00:00,36.92,60.09,23.19,32.73,97.67,45.9,2.84,0.58,,,,,21.8,57.6,,274.36,2.02,215.54,08-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
08-Feb-2020 - 00:00,40.75,63.11,22.36,30.55,129.22,73.69,2.59,0.69,,,,,23.18,64.74,,186.81,2.07,186.58,09-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
09-Feb-2020 - 00:00,39.2,65.42,26.22,30.38,116.26,57.64,2.32,0.53,,,,,25.96,53.38,,271.07,1.84,123.6,10-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
10-Feb-2020 - 00:00,37.56,65.71,28.15,25.14,99.89,46.62,2.43,0.53,,,,,27.63,54.27,,263.53,2.08,114.26,11-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
11-Feb-2020 - 00:00,48.64,66.93,18.29,22.27,113.17,59.3,3.34,0.71,,,,,26.93,64.07,,246.92,1.27,143.0,12-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
12-Feb-2020 - 00:00,46.72,67.68,20.96,21.04,113.76,59.03,3.2,0.88,,,,,28.68,59.24,,267.3,1.43,139.71,13-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
13-Feb-2020 - 00:00,48.42,71.49,23.06,21.98,118.15,64.63,3.2,0.87,,,,,28.33,58.26,,225.58,1.65,162.57,14-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
14-Feb-2020 - 00:00,30.64,58.05,27.41,28.08,91.54,36.74,2.48,0.58,,,,,28.71,43.36,,278.15,2.9,92.81,15-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
15-Feb-2020 - 00:00,51.1,75.82,24.72,30.68,92.08,31.08,3.26,0.62,,,,,27.02,39.73,,288.2,2.11,167.93,16-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
16-Feb-2020 - 00:00,49.57,79.86,30.28,25.31,139.73,76.42,3.36,0.79,,,,,26.25,59.21,,269.79,1.39,193.8,17-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
17-Feb-2020 - 00:00,46.81,71.12,24.3,23.13,186.33,116.99,3.57,1.02,,,,,27.98,60.8,,278.35,1.22,178.05,18-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
18-Feb-2020 - 00:00,47.36,74.21,26.85,23.85,157.97,80.31,3.53,0.98,,,,,29.0,51.4,,283.38,1.28,170.01,19-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
19-Feb-2020 - 00:00,53.8,78.04,24.24,26.65,161.49,95.76,3.89,0.94,,,,,27.72,58.5,,278.03,1.3,162.91,20-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
20-Feb-2020 - 00:00,53.27,74.6,21.33,25.24,136.37,75.95,3.7,0.84,,,,,26.63,64.53,,273.29,1.42,201.58,21-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
21-Feb-2020 - 00:00,62.63,78.29,15.66,21.66,107.89,56.91,3.81,0.71,,,,,25.63,71.49,,287.08,1.45,211.45,22-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
22-Feb-2020 - 00:00,47.41,72.77,25.36,24.16,147.17,73.45,3.46,0.83,,,,,26.3,60.52,,301.51,1.67,177.33,23-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
23-Feb-2020 - 00:00,50.0,76.88,26.88,24.18,157.37,72.53,3.69,0.96,,,,,26.85,53.36,,290.15,1.65,203.2,24-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
24-Feb-2020 - 00:00,42.38,66.3,23.93,20.75,140.74,78.44,3.86,0.93,,,,,26.55,57.38,,308.84,1.84,165.5,25-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
25-Feb-2020 - 00:00,38.7,60.62,21.91,26.53,99.7,26.11,2.71,0.52,,,,,28.49,33.17,,357.55,2.43,117.01,26-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
26-Feb-2020 - 00:00,48.37,72.36,23.99,33.27,98.5,30.75,3.2,0.65,,,,,28.53,37.47,,321.65,1.58,158.04,27-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
27-Feb-2020 - 00:00,52.23,74.5,22.27,36.05,126.55,46.74,3.45,0.79,,,,,27.68,46.12,,336.64,1.49,146.02,28-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
28-Feb-2020 - 00:00,51.48,75.56,24.08,35.28,160.77,82.04,4.14,0.89,84.05,0.06,0.97,1.26,27.02,49.33,,332.67,1.36,173.97,29-Feb-2020 - 00:00,"Vasai West, Mumbai - MPCB"
29-Feb-2020 - 00:00,57.03,77.02,19.99,27.05,150.12,80.83,4.34,0.85,,,,,26.35,59.65,,319.56,1.47,202.29,01-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
01-Mar-2020 - 00:00,67.99,87.47,19.48,19.78,113.01,48.22,4.23,0.7,,,,,25.78,74.02,,327.44,1.72,200.35,02-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
02-Mar-2020 - 00:00,59.02,74.12,15.07,18.37,142.47,57.45,3.94,0.66,,,,,25.33,72.28,,358.99,1.35,178.12,03-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
03-Mar-2020 - 00:00,61.71,75.78,14.05,15.98,136.29,58.28,3.57,0.59,,,,,25.6,74.01,,313.7,1.53,181.21,04-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
04-Mar-2020 - 00:00,50.35,65.93,15.58,18.25,110.19,39.78,3.41,0.58,,,,,25.02,74.5,,321.97,1.6,185.7,05-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
05-Mar-2020 - 00:00,54.18,67.56,13.38,17.96,110.0,45.37,3.61,0.53,,,,,25.33,74.27,,350.85,1.58,197.26,06-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
06-Mar-2020 - 00:00,51.16,62.18,11.01,22.08,94.87,20.34,3.93,0.44,49.73,,,,25.93,69.61,,389.72,1.64,182.1,07-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
07-Mar-2020 - 00:00,42.87,56.14,13.26,24.56,131.21,23.62,3.56,0.46,34.81,,,,24.89,68.74,,356.81,2.17,144.91,08-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
08-Mar-2020 - 00:00,45.45,62.69,17.23,19.34,142.0,22.0,3.99,0.56,,,,,24.52,65.37,,399.21,1.54,163.53,09-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
09-Mar-2020 - 00:00,48.41,64.49,16.08,15.73,142.0,22.0,4.25,0.69,35.38,,,,24.72,73.08,,405.29,1.56,180.22,10-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
10-Mar-2020 - 00:00,65.99,80.75,14.76,13.27,142.0,22.0,4.57,0.85,31.59,,,,25.57,71.74,,378.32,1.43,204.52,11-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
11-Mar-2020 - 00:00,55.02,66.49,11.47,13.25,124.28,23.51,3.81,0.36,28.29,,,,25.08,65.26,,517.7,1.57,211.17,12-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
12-Mar-2020 - 00:00,52.53,66.31,13.78,17.16,78.5,19.4,3.66,0.5,8.29,,,,24.36,65.17,,453.94,2.03,175.33,13-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
13-Mar-2020 - 00:00,40.54,61.36,20.82,18.54,118.37,20.81,3.15,0.5,9.12,,,,24.28,56.22,,441.96,2.93,134.46,14-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
14-Mar-2020 - 00:00,29.33,54.27,24.95,24.43,114.51,20.71,2.75,0.51,8.51,,,,25.59,49.45,,494.11,3.14,127.29,15-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
15-Mar-2020 - 00:00,49.76,72.91,23.15,24.41,141.47,43.8,3.75,0.75,7.65,,,,27.51,43.96,,464.26,1.41,186.13,16-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
16-Mar-2020 - 00:00,55.75,77.39,21.64,24.43,157.45,57.68,4.21,0.91,18.64,,,,28.93,44.01,,438.01,1.51,190.53,17-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
17-Mar-2020 - 00:00,54.57,79.98,25.41,19.82,182.94,89.98,4.6,1.18,19.71,,,,28.4,50.33,,409.88,1.54,183.9,18-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
18-Mar-2020 - 00:00,53.69,74.2,20.51,19.28,140.01,69.8,4.58,0.99,14.51,,,,28.1,58.19,,438.76,1.42,195.18,19-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
19-Mar-2020 - 00:00,58.28,74.65,16.37,15.94,100.18,42.92,4.46,0.75,10.69,,,,27.01,63.19,,528.9,1.56,169.73,20-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
20-Mar-2020 - 00:00,72.02,85.06,13.04,14.92,81.75,31.22,4.86,0.69,6.69,,,,26.34,68.61,,482.1,1.4,208.57,21-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
21-Mar-2020 - 00:00,64.37,78.16,13.79,11.58,55.25,17.54,4.35,0.49,6.86,,,,26.2,73.47,,480.65,1.83,194.98,22-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
22-Mar-2020 - 00:00,46.72,60.83,14.11,9.02,48.58,15.6,3.6,0.35,7.22,,,,27.45,73.47,,489.1,2.37,200.43,23-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
23-Mar-2020 - 00:00,27.08,41.87,14.8,8.46,,23.01,3.12,0.4,8.99,,,,28.82,68.1,,500.33,1.98,202.77,24-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
24-Mar-2020 - 00:00,26.61,43.48,16.87,8.21,,39.11,3.38,0.5,9.35,,,,29.4,65.66,,448.85,1.76,225.61,25-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
25-Mar-2020 - 00:00,24.81,42.41,17.6,7.26,,28.16,3.17,0.56,5.93,,,,29.2,70.06,,403.16,1.52,192.76,26-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
26-Mar-2020 - 00:00,23.5,40.98,17.49,6.35,,33.78,3.01,0.43,5.98,,,,28.89,71.54,,377.17,1.6,181.55,27-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
27-Mar-2020 - 00:00,23.09,40.96,17.87,4.98,,22.17,2.8,0.35,5.86,,,,28.65,71.72,,401.28,2.82,189.21,28-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
28-Mar-2020 - 00:00,18.46,38.02,19.57,4.75,,22.11,2.63,0.38,5.87,,,,29.07,56.72,,460.01,3.31,177.47,29-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
29-Mar-2020 - 00:00,21.29,41.9,20.61,4.4,,17.89,2.74,0.37,5.94,,,,29.22,55.87,,471.24,2.63,166.39,30-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
30-Mar-2020 - 00:00,22.07,41.38,19.3,4.62,,,2.79,0.37,5.9,,,,28.64,61.14,,450.66,1.85,188.9,31-Mar-2020 - 00:00,"Vasai West, Mumbai - MPCB"
31-Mar-2020 - 00:00,29.62,44.78,15.16,4.35,,,3.06,0.42,5.82,,,,27.94,68.8,,460.75,1.97,206.98,01-Apr-2020 - 00:00,"Vasai West, Mumbai - MPCB"
01-Apr-2020 - 00:00,32.19,47.34,15.15,3.92,,,3.18,0.34,5.93,,,,28.05,71.78,,512.34,2.14,199.77,02-Apr-2020 - 00:00,"Vasai West, Mumbai - MPCB"
02-Apr-2020 - 00:00,27.84,45.63,17.8,3.61,,,3.18,0.37,5.87,,,,29.21,67.96,,485.22,2.29,215.88,03-Apr-2020 - 00:00,"Vasai West, Mumbai - MPCB"
03-Apr-2020 - 00:00,26.95,44.1,17.15,3.04,,,3.09,0.34,5.86,,,,29.3,70.03,,473.2,1.98,213.19,04-Apr-2020 - 00:00,"Vasai West, Mumbai - MPCB"
04-Apr-2020 - 00:00,28.38,45.13,16.75,2.59,,,3.09,0.35,5.81,,,,29.05,73.5,,508.52,1.86,220.89,05-Apr-2020 - 00:00,"Vasai West, Mumbai - MPCB"
05-Apr-2020 - 00:00,33.94,50.13,16.19,2.19,,,3.33,0.38,5.76,,,,28.51,79.29,,502.64,1.51,208.47,06-Apr-2020 - 00:00,"Vasai West, Mumbai - MPCB"
06-Apr-2020 - 00:00,28.2,45.4,17.2,1.87,,,3.08,0.31,5.74,,,,28.35,81.16,,491.14,1.65,188.25,07-Apr-2020 - 00:00,"Vasai West, Mumbai - MPCB"
07-Apr-2020 - 00:00,37.28,50.29,13.01,1.49,,,3.52,0.27,5.74,,,,27.8,79.78,,509.68,1.51,179.71,08-Apr-2020 - 00:00,"Vasai West, Mumbai - MPCB"
08-Apr-2020 - 00:00,37.89,50.3,12.41,1.3,,,3.53,0.3,5.73,,,,27.85,75.48,,512.04,1.72,176.83,09-Apr-2020 - 00:00,"Vasai West, Mumbai - MPCB"
09-Apr-2020 - 00:00,41.33,52.16,10.82,1.31,,,3.65,0.29,5.78,,,,27.95,75.76,,500.89,1.85,203.36,10-Apr-2020 - 00:00,"Vasai West, Mumbai - MPCB"
10-Apr-2020 - 00:00,38.63,53.58,14.94,1.15,,,3.61,0.31,5.79,,,,28.77,76.29,,489.58,1.94,195.26,11-Apr-2020 - 00:00,"Vasai West, Mumbai - MPCB"
11-Apr-2020 - 00:00,30.82,48.73,17.91,1.37,,,3.43,0.37,5.76,,,,29.99,73.57,,468.8,1.74,209.48,12-Apr-2020 - 00:00,"Vasai West, Mumbai - MPCB"
12-Apr-2020 - 00:00,26.74,46.01,19.27,1.27,,,3.33,0.41,5.76,,,,29.75,79.95,,446.14,1.36,180.22,13-Apr-2020 - 00:00,"Vasai West, Mumbai - MPCB"
13-Apr-2020 - 00:00,25.21,45.0,19.78,1.17,,,3.26,0.33,5.76,,,,29.82,78.49,,457.79,1.68,205.91,14-Apr-2020 - 00:00,"Vasai West, Mumbai - MPCB"
14-Apr-2020 - 00:00,24.44,44.84,20.4,1.12,,,3.3,0.32,5.76,,,,30.36,76.01,,464.08,1.74,210.67,15-Apr-2020 - 00:00,"Vasai West, Mumbai - MPCB"
15-Apr-2020 - 00:00,21.77,43.15,21.38,0.97,,,3.13,0.28,5.75,,,,30.52,76.07,,451.31,1.53,176.79,16-Apr-2020 - 00:00,"Vasai West, Mumbai - MPCB"
