from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
05-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,06-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
06-Sep-2018 - 00:00,,,,,,,,,,134.01,49.58,,,0.0,0.4,17.18,23.4,07-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
07-Sep-2018 - 00:00,,,,,,,,,,151.12,62.31,,,0.0,0.35,11.04,36.38,08-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
08-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,09-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
09-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,10-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
10-Sep-2018 - 00:00,,,,,,,,,,115.78,34.18,,,0.0,0.13,17.25,44.46,11-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
11-Sep-2018 - 00:00,,,,,,,,,,125.31,51.69,,,0.0,0.23,,32.45,12-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
12-Sep-2018 - 00:00,,,,,,,,,,128.58,37.93,,,0.0,0.0,0.0,,13-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
13-Sep-2018 - 00:00,,,,,,,,,,143.66,47.71,,,0.0,0.0,0.0,,14-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
14-Sep-2018 - 00:00,,,,,,,,,,157.04,42.64,2.33,,0.0,0.08,0.0,32.41,15-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
15-Sep-2018 - 00:00,,,,,,,,,,161.68,51.97,2.33,,0.0,0.2,0.0,32.54,16-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
16-Sep-2018 - 00:00,,,,,,,,,,167.29,41.54,,,0.0,0.16,0.0,32.75,17-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
17-Sep-2018 - 00:00,,,,,,,,,,124.68,28.31,,,0.0,0.15,0.0,34.48,18-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
18-Sep-2018 - 00:00,,,,,,,,,,143.87,52.37,,,0.0,0.29,0.0,40.97,19-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
19-Sep-2018 - 00:00,,,,,,,,,,153.89,65.17,2.33,,0.0,0.29,0.0,40.34,20-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
20-Sep-2018 - 00:00,,,,,,,,,,168.6,79.01,,,0.0,0.28,0.0,45.21,21-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
21-Sep-2018 - 00:00,,,,,,,,,,103.69,48.07,,,0.0,0.32,0.0,40.93,22-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
22-Sep-2018 - 00:00,,,,,,,,,,67.28,30.08,,,0.0,0.33,0.0,35.91,23-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
23-Sep-2018 - 00:00,,,,,,,,,,84.63,43.67,2.33,,0.0,0.32,0.0,36.82,24-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
24-Sep-2018 - 00:00,,,,,,,,,,52.73,23.0,2.33,,0.0,0.31,0.0,34.94,25-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
25-Sep-2018 - 00:00,,,,,,,,,,59.31,24.86,2.33,,0.0,0.29,0.0,34.63,26-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
26-Sep-2018 - 00:00,,,,,,,,,,107.34,45.92,2.33,,0.0,0.22,0.0,35.02,27-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
27-Sep-2018 - 00:00,,,,,,,,,,181.95,83.24,2.33,,0.0,0.1,0.0,36.63,28-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
28-Sep-2018 - 00:00,,,,,,,,,,218.8,120.15,,,0.0,0.72,0.0,40.71,29-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
29-Sep-2018 - 00:00,,,,,,,,,,182.75,92.45,267.19,,0.0,2.4,0.0,42.81,30-Sep-2018 - 00:00,"Burari Crossing, Delhi - IMD"
30-Sep-2018 - 00:00,,,,,,,,,,133.86,60.03,,,0.0,0.73,,36.02,01-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
01-Oct-2018 - 00:00,,,,,,,,,,154.78,75.32,17.69,6.61,9.36,0.87,,38.14,02-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
02-Oct-2018 - 00:00,,,,,,,,,,183.19,92.6,7.78,5.67,13.43,0.9,,36.01,03-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
03-Oct-2018 - 00:00,,,,,,,,,,185.61,93.05,7.95,4.81,12.79,0.83,0.86,40.28,04-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
04-Oct-2018 - 00:00,,,,,,,,,,201.86,106.42,13.51,10.88,24.28,0.86,,49.25,05-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
05-Oct-2018 - 00:00,,,,,,,,,,213.28,120.57,27.53,14.35,41.88,0.77,,44.34,06-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
06-Oct-2018 - 00:00,,,,,,,,,,162.71,79.58,22.93,21.14,43.74,0.71,,37.13,07-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
07-Oct-2018 - 00:00,,,,,,,,,,207.8,98.53,12.07,20.92,33.01,0.88,,43.94,08-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
08-Oct-2018 - 00:00,,,,,,,,,,268.93,137.94,12.13,22.07,34.21,0.75,,51.17,09-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
09-Oct-2018 - 00:00,,,,,,,,,,276.03,131.95,11.98,22.4,34.39,0.72,,59.21,10-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
10-Oct-2018 - 00:00,,,,,,,,,,213.03,104.38,11.29,21.57,32.87,0.76,,60.07,11-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
11-Oct-2018 - 00:00,,,,,,,,,,149.53,70.02,10.97,20.0,30.98,0.84,,46.05,12-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
12-Oct-2018 - 00:00,,,,,,,,,,155.18,74.05,12.13,22.15,22.96,0.57,0.0,40.88,13-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
13-Oct-2018 - 00:00,,,,,,,,,,247.35,150.89,,,0.0,0.0,0.0,,14-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
14-Oct-2018 - 00:00,,,,,,,,,,202.46,116.8,,,0.0,0.0,0.0,,15-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
15-Oct-2018 - 00:00,,,,,,,,,,190.73,102.52,,,0.0,0.53,0.0,48.51,16-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
16-Oct-2018 - 00:00,,,,,,,,,,304.64,173.87,,,0.0,0.44,,60.35,17-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
17-Oct-2018 - 00:00,,,,,,,,,,324.46,193.55,,,0.0,0.31,,40.89,18-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
18-Oct-2018 - 00:00,,,,,,,,,,334.85,196.56,29.63,63.9,41.33,0.45,,49.37,19-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
19-Oct-2018 - 00:00,,,,,,,,,,270.34,153.21,,51.79,36.6,0.87,,44.77,20-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
20-Oct-2018 - 00:00,,,,,,,,,,340.27,214.81,52.22,62.08,78.66,1.15,,48.8,21-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
21-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,22-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
22-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,23-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
23-Oct-2018 - 00:00,,,,,,,,,,307.5,208.86,19.62,26.47,44.5,0.72,28.0,66.59,24-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
24-Oct-2018 - 00:00,,,,,,,,,,425.41,258.29,33.27,37.8,70.81,0.32,20.62,65.67,25-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
25-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,26-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
26-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,27-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
27-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,28-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
28-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,29-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
29-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,30-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
30-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,31-Oct-2018 - 00:00,"Burari Crossing, Delhi - IMD"
31-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,01-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
01-Nov-2018 - 00:00,,,,,,,,,,,,,,,,,,02-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
02-Nov-2018 - 00:00,,,,,,,,,,,,,,,,,,03-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
03-Nov-2018 - 00:00,,,,,,,,,,,,,,,,,,04-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
04-Nov-2018 - 00:00,,,,,,,,,,,,,,,,,,05-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
05-Nov-2018 - 00:00,,,,,,,,,,305.17,162.58,21.68,40.66,62.34,0.68,,40.88,06-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
06-Nov-2018 - 00:00,,,,,,,,,,261.27,98.31,22.33,36.5,58.83,0.85,,46.12,07-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
07-Nov-2018 - 00:00,,,,,,,,,,297.24,219.89,23.87,37.44,61.31,0.75,,59.47,08-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
08-Nov-2018 - 00:00,,,,,,,,,,438.67,432.07,38.96,46.59,85.55,0.37,,60.72,09-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
09-Nov-2018 - 00:00,,,,,,,,,,412.26,298.38,39.05,47.05,86.1,0.38,,55.21,10-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
10-Nov-2018 - 00:00,,,,,,,,,,465.96,342.19,39.67,52.59,92.26,0.25,,57.92,11-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
11-Nov-2018 - 00:00,,,,,,,,,,439.67,312.84,36.91,47.87,84.77,0.33,,59.67,12-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
12-Nov-2018 - 00:00,,,,,,,,,,452.19,314.2,33.04,45.69,78.73,0.38,,57.27,13-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
13-Nov-2018 - 00:00,,,,,,,,,,434.64,321.37,41.49,52.26,93.75,0.23,,48.36,14-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
14-Nov-2018 - 00:00,,,,,,,,,,218.86,159.12,31.88,43.09,74.97,0.57,,44.26,15-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
15-Nov-2018 - 00:00,,,,,,,,,,153.7,107.31,30.74,40.61,71.34,0.72,,50.55,16-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
16-Nov-2018 - 00:00,,,,,,,,,,185.84,132.47,27.04,37.96,65.0,0.83,,43.46,17-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
17-Nov-2018 - 00:00,,,,,,,,,,247.51,165.92,35.16,44.13,79.29,0.65,,49.24,18-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
18-Nov-2018 - 00:00,,,,,,,,,,354.24,246.77,41.42,50.46,91.88,0.41,,67.2,19-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
19-Nov-2018 - 00:00,,,,,,,,,,369.99,281.76,36.95,46.45,83.43,0.56,,62.16,20-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
20-Nov-2018 - 00:00,,,,,,,,,,391.45,284.02,36.64,48.49,85.13,0.43,,54.89,21-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
21-Nov-2018 - 00:00,,,,,,,,,,367.69,260.46,37.42,45.72,83.14,0.5,,53.8,22-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
22-Nov-2018 - 00:00,,,,,,,,,,274.65,166.4,57.79,55.37,113.26,0.46,,48.3,23-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
23-Nov-2018 - 00:00,,,,,,,,,,337.83,228.89,49.62,50.62,100.23,0.51,,53.16,24-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
24-Nov-2018 - 00:00,,,,,,,,,,183.01,110.49,39.8,43.17,82.97,0.79,,43.48,25-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
25-Nov-2018 - 00:00,,,,,,,,,,301.29,185.69,55.53,52.42,107.95,0.54,,53.87,26-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
26-Nov-2018 - 00:00,,,,,,,,,,366.42,261.33,76.31,62.45,138.94,0.34,,57.77,27-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
27-Nov-2018 - 00:00,,,,,,,,,,383.39,258.64,102.48,69.51,145.44,0.1,0.0,51.52,28-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
28-Nov-2018 - 00:00,,,,,,,,,,452.5,308.98,37.75,39.5,77.25,0.18,,33.16,29-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
29-Nov-2018 - 00:00,,,,,,,,,,380.51,245.49,28.03,34.33,60.83,0.43,0.0,25.07,30-Nov-2018 - 00:00,"Burari Crossing, Delhi - IMD"
30-Nov-2018 - 00:00,,,,,,,,,,324.56,212.42,16.38,28.41,44.3,0.9,,24.95,01-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
01-Dec-2018 - 00:00,,,,,,,,,,297.15,177.02,23.68,30.83,54.5,0.91,,25.94,02-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
02-Dec-2018 - 00:00,,,,,,,,,,411.46,271.34,40.85,41.32,82.17,0.54,,30.18,03-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
03-Dec-2018 - 00:00,,,,,,,,,,361.48,232.64,39.53,40.48,80.04,0.66,,26.81,04-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
04-Dec-2018 - 00:00,,,,,,,,,,465.03,307.94,59.07,49.55,108.62,0.43,,26.6,05-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
05-Dec-2018 - 00:00,,,,,,,,,,351.3,234.71,45.3,41.38,86.68,0.64,,25.18,06-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
06-Dec-2018 - 00:00,,,,,,,,,,418.73,300.21,39.94,38.8,78.74,0.6,,25.45,07-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
07-Dec-2018 - 00:00,,,,,,,,,,348.56,221.42,21.24,28.24,49.49,0.87,,25.58,08-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
08-Dec-2018 - 00:00,,,,,,,,,,338.5,230.33,17.38,26.31,43.69,0.94,,26.78,09-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
09-Dec-2018 - 00:00,,,,,,,,,,397.0,299.99,17.95,25.46,43.4,0.88,,27.03,10-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
10-Dec-2018 - 00:00,,,,,,,,,,463.17,337.48,17.24,24.83,42.07,0.86,,27.06,11-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
11-Dec-2018 - 00:00,,,,,,,,,,556.77,404.89,19.4,27.4,46.8,0.65,,34.93,12-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
12-Dec-2018 - 00:00,,,,,,,,,,322.99,237.51,10.14,20.25,30.39,0.78,,30.3,13-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
13-Dec-2018 - 00:00,,,,,,,,,,109.32,75.24,8.13,18.27,26.4,1.14,,26.88,14-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
14-Dec-2018 - 00:00,,,,,,,,,,169.21,102.43,8.59,18.36,26.95,1.83,,29.57,15-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
15-Dec-2018 - 00:00,,,,,,,,,,175.3,104.56,7.46,17.68,25.14,2.46,,27.55,16-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
16-Dec-2018 - 00:00,,,,,,,,,,236.33,147.14,8.55,18.47,27.02,2.46,,30.25,17-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
17-Dec-2018 - 00:00,,,,,,,,,,299.73,166.51,13.12,21.47,34.59,2.31,,26.51,18-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
18-Dec-2018 - 00:00,,,,,,,,,,313.25,193.17,9.69,20.16,29.86,2.46,,24.74,19-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
19-Dec-2018 - 00:00,,,,,,,,,,436.74,318.85,14.44,22.44,36.88,2.08,,25.33,20-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
20-Dec-2018 - 00:00,,,,,,,,,,492.14,313.03,24.59,27.16,51.75,1.71,,27.81,21-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
21-Dec-2018 - 00:00,,,,,,,,,,417.71,328.38,15.06,22.51,37.57,2.18,,27.74,22-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
22-Dec-2018 - 00:00,,,,,,,,,,554.72,421.21,15.37,23.45,38.82,1.92,,26.27,23-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
23-Dec-2018 - 00:00,,,,,,,,,,670.32,541.21,19.53,25.21,44.74,1.54,23.72,27.11,24-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
24-Dec-2018 - 00:00,,,,,,,,,,595.32,435.9,25.07,27.42,52.49,1.46,,25.1,25-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
25-Dec-2018 - 00:00,,,,,,,,,,354.89,245.86,9.73,19.48,29.22,2.53,,25.2,26-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
26-Dec-2018 - 00:00,,,,,,,,,,397.04,293.55,17.2,22.14,39.33,2.48,41.08,26.22,27-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
27-Dec-2018 - 00:00,,,,,,,,,,487.02,304.19,26.95,28.36,55.31,1.97,42.47,26.35,28-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
28-Dec-2018 - 00:00,,,,,,,,,,404.58,262.24,20.44,27.37,47.81,2.95,47.81,25.26,29-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
29-Dec-2018 - 00:00,,,,,,,,,,422.1,285.85,41.64,39.06,80.7,2.68,0.0,26.97,30-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
30-Dec-2018 - 00:00,,,,,,,,,,617.55,408.29,68.98,51.7,120.68,1.97,,26.4,31-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
31-Dec-2018 - 00:00,,,,,,,,,,615.01,359.68,69.93,48.86,118.76,1.84,,24.18,01-Jan-2019 - 00:00,"Burari Crossing, Delhi - IMD"
