from date,CH4,WD,BP,SR,NMHC,NO2,NOx,NO,CO,VWS,PM2.5,RH,WS,AT,THC,Temp,NH3,SO2,to date,station
31-Mar-2018 - 00:00,0.0,116.48,734.3,143.7,319.57,42.98,31.27,10.51,0.55,0.19,107.86,45.44,1.41,27.73,544.42,,48.31,14.75,01-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Apr-2018 - 00:00,576.5,116.98,751.25,140.71,309.04,43.37,31.47,10.5,0.5,0.19,72.23,45.16,1.19,29.68,446.9,,48.28,12.06,02-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Apr-2018 - 00:00,766.84,107.39,751.43,131.54,376.56,56.41,39.53,11.91,0.65,0.19,90.69,44.67,0.98,30.36,247.36,,52.81,18.2,03-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Apr-2018 - 00:00,0.0,128.04,750.73,120.63,363.59,55.73,37.91,10.92,0.73,0.19,87.8,40.92,0.9,32.04,227.21,,53.27,37.83,04-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Apr-2018 - 00:00,0.0,119.24,749.67,116.62,470.09,65.66,45.28,12.94,0.93,0.2,102.52,44.44,0.68,31.99,220.89,,67.08,18.87,05-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Apr-2018 - 00:00,0.0,127.32,749.11,113.8,481.36,62.38,45.58,16.5,1.11,0.2,133.67,45.56,0.79,32.06,201.48,,70.7,22.82,06-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Apr-2018 - 00:00,0.0,129.79,750.04,87.6,342.26,50.22,36.22,12.5,0.43,0.21,99.87,40.82,1.78,30.9,325.21,,52.64,20.74,07-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Apr-2018 - 00:00,0.0,120.62,750.95,134.49,283.78,35.36,27.73,11.15,0.46,0.18,44.28,48.14,1.36,29.82,569.24,,47.1,7.95,08-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Apr-2018 - 00:00,0.0,122.73,751.28,133.97,253.65,32.66,25.29,9.9,0.43,0.18,49.09,47.41,1.59,30.48,682.97,,48.26,9.38,09-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Apr-2018 - 00:00,203.13,122.48,751.88,97.27,454.85,42.5,38.45,15.93,0.55,0.14,56.34,62.48,1.33,27.67,211.53,,42.26,7.67,10-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Apr-2018 - 00:00,0.0,157.13,751.03,132.21,416.42,46.02,35.15,14.28,0.63,0.19,79.61,56.15,1.25,29.67,290.87,,63.38,12.42,11-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Apr-2018 - 00:00,0.0,101.07,750.92,116.25,267.28,33.88,26.65,10.78,0.74,0.2,64.32,61.27,1.79,27.73,454.88,,52.5,8.94,12-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Apr-2018 - 00:00,0.0,189.91,733.6,149.97,386.63,41.91,36.02,17.15,0.53,0.2,68.88,48.79,1.24,28.27,310.49,,48.36,7.75,13-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Apr-2018 - 00:00,0.0,230.86,751.03,174.83,461.86,55.48,47.64,22.67,0.76,0.24,87.55,28.51,0.89,30.24,213.61,,47.0,14.06,14-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Apr-2018 - 00:00,0.0,269.01,750.42,149.86,458.38,58.6,44.69,16.9,0.6,0.19,76.06,23.2,1.09,31.94,89.44,,51.05,12.33,15-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Apr-2018 - 00:00,0.0,261.42,750.42,141.9,595.17,70.94,63.07,31.73,0.68,-0.39,95.11,33.36,0.56,30.86,138.26,,67.97,16.99,16-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Apr-2018 - 00:00,0.0,111.07,750.34,111.1,784.74,71.47,75.5,46.85,1.14,-4.5,119.05,32.81,0.94,32.77,99.11,,79.96,21.57,17-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Apr-2018 - 00:00,0.0,177.85,750.85,145.59,533.23,53.71,49.25,24.72,0.62,-2.74,108.12,30.03,1.15,33.26,59.36,,59.09,11.5,18-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Apr-2018 - 00:00,25.13,304.8,750.42,156.73,427.69,47.75,34.04,10.8,0.59,-1.51,99.24,22.18,1.78,33.86,0.0,,49.22,0.18,19-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Apr-2018 - 00:00,24.94,287.0,748.98,143.18,450.54,60.09,41.8,12.3,0.66,-1.21,93.13,21.06,1.27,34.78,55.29,,53.09,13.98,20-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Apr-2018 - 00:00,52.34,170.69,748.54,121.35,406.99,45.07,32.67,10.87,0.52,-0.81,150.84,22.04,2.43,34.06,90.22,,40.8,49.18,21-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Apr-2018 - 00:00,236.92,303.3,750.51,134.11,358.14,39.21,29.78,11.15,0.6,-0.64,159.25,30.8,1.55,31.21,193.6,,45.03,21.3,22-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Apr-2018 - 00:00,0.0,324.69,750.96,172.05,360.9,41.34,29.6,9.51,1.25,-0.67,92.76,21.32,1.98,30.73,226.84,,49.68,16.93,23-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Apr-2018 - 00:00,0.0,295.3,750.51,164.14,442.62,53.93,40.07,14.23,0.7,-0.76,66.57,16.32,1.35,31.99,298.92,,45.65,13.77,24-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Apr-2018 - 00:00,5.81,262.99,749.92,131.44,564.89,75.23,54.62,18.26,0.76,-0.88,76.16,17.49,1.12,32.89,225.74,,50.59,26.31,25-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Apr-2018 - 00:00,297.07,237.02,748.79,153.02,795.02,94.82,118.75,66.81,1.45,-0.34,110.31,17.95,0.87,34.2,163.55,,75.98,26.39,26-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Apr-2018 - 00:00,174.41,103.51,748.12,122.8,535.13,95.47,83.87,41.36,1.0,-0.15,153.28,18.03,0.8,35.33,234.76,,75.97,29.44,27-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Apr-2018 - 00:00,11.54,126.86,749.61,132.67,266.04,44.27,33.29,12.18,0.67,0.0,118.84,45.15,1.63,33.6,392.03,,72.05,16.35,28-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Apr-2018 - 00:00,0.0,118.36,749.43,111.93,256.69,34.69,27.31,11.08,0.59,-0.23,90.61,44.97,1.72,33.99,260.72,,61.6,17.45,29-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Apr-2018 - 00:00,0.0,128.19,748.14,127.08,298.54,48.47,35.05,11.58,0.81,-0.43,94.36,42.57,0.86,34.47,300.6,,61.86,42.77,30-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Apr-2018 - 00:00,0.24,145.69,747.43,144.43,298.56,53.89,42.04,16.72,0.58,-0.13,73.14,39.95,1.47,34.52,493.12,,54.59,15.02,01-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-May-2018 - 00:00,0.0,129.12,748.95,143.16,298.59,27.72,23.27,10.66,0.39,-1.39,56.25,56.02,2.18,32.19,699.84,,41.51,9.94,02-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-May-2018 - 00:00,0.0,130.75,749.58,132.51,298.6,28.65,24.06,11.03,0.75,0.14,69.17,54.47,2.41,31.46,700.64,,55.77,8.42,03-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-May-2018 - 00:00,0.0,131.58,749.8,123.36,258.23,26.78,25.88,8.68,0.25,0.25,42.39,52.77,2.38,30.68,705.47,,32.11,8.43,04-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-May-2018 - 00:00,0.0,115.6,749.93,151.26,215.29,28.91,22.87,9.37,0.39,0.1,40.46,54.7,1.72,31.8,634.66,,41.3,10.85,05-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-May-2018 - 00:00,0.0,172.0,749.5,145.23,422.03,55.57,38.9,11.68,0.41,0.11,70.5,43.09,0.76,34.17,20.54,,41.53,14.02,06-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-May-2018 - 00:00,0.0,86.54,749.82,140.52,473.65,65.19,49.65,18.72,0.31,0.11,109.14,38.32,1.93,33.49,327.57,,45.43,28.94,07-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-May-2018 - 00:00,0.0,169.67,748.94,137.64,439.23,57.6,44.18,16.93,0.34,-0.3,101.74,32.78,0.81,34.3,39.06,,41.97,30.14,08-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-May-2018 - 00:00,0.0,262.27,749.3,141.68,207.04,24.04,20.38,9.51,0.32,-0.77,73.49,40.51,1.96,31.23,553.8,,30.53,11.85,09-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-May-2018 - 00:00,0.0,147.01,750.07,114.03,401.87,64.17,49.93,19.75,0.4,-1.59,75.95,53.49,0.71,29.57,157.36,,51.68,18.59,10-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-May-2018 - 00:00,0.0,226.32,750.37,134.02,412.64,77.27,65.91,28.8,0.32,-0.72,81.43,44.51,0.77,32.55,222.22,,80.9,18.37,11-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-May-2018 - 00:00,0.0,217.06,748.97,125.82,560.61,101.74,72.78,23.33,0.51,-0.1,127.98,35.82,0.91,35.29,245.86,,76.22,30.23,12-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-May-2018 - 00:00,0.0,118.21,748.66,106.64,508.9,93.18,66.53,21.2,0.46,-0.13,140.43,42.89,1.03,35.72,321.32,,81.05,32.95,13-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-May-2018 - 00:00,0.0,114.77,748.78,115.99,234.46,30.26,23.86,9.71,0.63,0.39,79.15,53.18,2.66,33.12,287.49,,70.9,13.86,14-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-May-2018 - 00:00,0.0,139.96,749.48,131.67,210.61,35.88,27.11,9.88,0.47,0.6,50.87,50.04,1.26,31.15,505.09,,40.94,13.7,15-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-May-2018 - 00:00,5.11,115.29,748.76,124.32,234.21,24.94,19.65,8.06,1.15,0.95,72.31,51.36,1.12,33.39,402.84,,43.15,18.61,16-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-May-2018 - 00:00,0.0,235.25,714.29,132.27,233.42,23.32,23.27,7.51,1.2,0.02,84.5,36.49,1.39,33.23,196.1,,40.69,13.5,17-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-May-2018 - 00:00,0.0,194.35,748.5,151.04,125.75,22.61,20.76,8.99,0.88,-0.22,139.91,30.09,1.11,35.03,272.77,,53.26,16.15,18-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-May-2018 - 00:00,0.0,65.91,748.22,73.98,217.41,26.01,22.86,9.5,1.22,0.63,112.65,36.01,0.7,34.95,411.98,,55.36,18.23,19-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-May-2018 - 00:00,0.0,177.19,748.22,162.36,382.61,25.94,28.07,15.94,1.31,0.55,121.48,37.06,1.14,35.26,317.19,,60.57,22.92,20-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-May-2018 - 00:00,802.48,106.86,748.76,158.69,177.77,12.35,14.66,7.8,1.7,0.41,118.49,18.86,1.5,37.39,341.34,,47.16,16.85,21-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-May-2018 - 00:00,664.62,178.3,748.94,149.14,224.18,20.75,19.07,8.32,0.95,0.7,90.67,12.2,1.81,37.09,232.94,,34.94,13.63,22-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-May-2018 - 00:00,101.27,190.54,748.41,146.42,422.44,28.89,27.77,14.26,1.38,0.98,105.03,16.12,1.11,37.31,198.13,,27.4,15.32,23-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-May-2018 - 00:00,282.1,78.74,747.94,134.04,245.0,28.56,31.32,18.92,1.81,0.2,171.28,27.38,0.76,36.76,191.7,,30.69,20.67,24-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-May-2018 - 00:00,598.69,125.66,747.64,126.53,468.49,20.51,19.81,9.87,0.94,-0.12,138.2,28.09,1.0,36.26,207.95,,20.93,21.12,25-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-May-2018 - 00:00,863.32,266.11,747.73,156.34,531.15,21.22,20.0,9.65,0.9,0.73,101.28,14.61,0.94,37.09,211.69,,10.81,19.97,26-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-May-2018 - 00:00,0.0,245.69,747.22,150.19,584.66,26.29,24.78,12.24,0.9,0.61,103.78,14.19,0.76,37.87,212.01,,16.05,21.73,27-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-May-2018 - 00:00,0.0,180.7,746.95,142.14,485.7,23.87,23.12,11.78,0.93,0.2,132.37,14.73,1.22,38.07,165.1,,18.3,21.53,28-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-May-2018 - 00:00,0.0,76.84,746.34,134.41,498.5,21.9,21.76,11.39,1.19,0.2,151.79,28.98,0.82,36.34,61.65,,17.42,18.33,29-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-May-2018 - 00:00,0.0,151.77,745.87,140.15,405.52,19.03,22.53,14.26,1.07,0.21,127.02,34.22,1.55,37.22,61.5,,19.12,13.77,30-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-May-2018 - 00:00,0.0,145.97,746.75,132.46,191.07,13.81,15.49,8.93,0.56,0.24,78.01,44.65,2.43,35.3,377.6,,16.28,2.28,31-May-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
31-May-2018 - 00:00,11.36,151.71,747.47,136.39,339.53,24.66,21.88,9.71,0.76,0.24,88.64,42.16,1.41,36.53,327.04,,32.64,7.64,01-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Jun-2018 - 00:00,0.0,125.57,748.03,142.0,259.86,21.67,20.21,9.61,0.81,0.26,90.14,54.71,2.37,34.47,662.5,,36.09,6.19,02-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Jun-2018 - 00:00,0.0,137.58,748.36,136.6,213.1,24.78,21.59,9.26,0.68,0.25,53.12,52.21,1.98,32.52,668.69,,31.33,7.21,03-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Jun-2018 - 00:00,0.0,117.69,747.29,140.37,177.08,22.15,20.18,9.25,0.69,0.25,54.13,57.78,1.6,33.99,449.02,,35.89,7.05,04-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Jun-2018 - 00:00,0.0,131.57,746.85,129.67,170.99,20.89,19.31,9.0,0.91,0.25,74.12,52.05,2.13,36.14,325.41,,31.19,4.59,05-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Jun-2018 - 00:00,10.73,128.61,747.89,125.27,186.76,20.94,19.42,9.1,0.61,-1.19,49.01,51.1,2.04,36.35,81.61,,29.1,4.63,06-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Jun-2018 - 00:00,0.0,71.69,748.64,79.16,192.57,16.7,18.57,7.06,0.92,-0.45,56.37,67.07,1.58,33.08,297.23,,34.23,14.71,07-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Jun-2018 - 00:00,0.0,118.33,746.75,134.1,242.33,25.23,20.07,8.31,0.74,0.36,62.62,56.59,1.01,35.68,0.0,,29.52,29.46,08-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Jun-2018 - 00:00,302.14,134.43,745.35,126.36,212.97,20.62,16.97,7.84,0.75,0.04,67.26,60.14,2.21,35.81,180.24,,28.73,14.07,09-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Jun-2018 - 00:00,0.0,138.29,746.0,112.9,216.39,14.47,14.07,7.97,0.8,0.7,49.92,76.22,1.91,32.49,126.93,,14.57,17.17,10-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Jun-2018 - 00:00,0.0,153.99,745.38,110.4,349.3,16.86,15.35,9.61,1.68,1.16,75.73,67.1,0.89,33.67,229.23,,13.55,21.87,11-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Jun-2018 - 00:00,329.68,294.89,744.38,150.04,358.45,26.31,19.14,7.44,0.87,0.68,90.87,51.39,1.64,36.58,359.66,,24.02,10.55,12-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Jun-2018 - 00:00,881.02,287.53,743.27,132.62,361.73,40.18,28.36,8.74,0.98,0.34,218.09,42.05,1.65,38.33,309.61,,57.74,21.86,13-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Jun-2018 - 00:00,619.6,273.13,743.31,109.74,129.48,27.35,21.5,8.69,0.69,0.36,542.4,35.95,2.4,39.04,239.42,,56.27,17.62,14-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Jun-2018 - 00:00,364.1,267.87,744.24,120.92,132.88,26.92,19.25,6.17,0.98,0.31,434.38,33.58,2.67,38.21,328.15,,46.26,20.53,15-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Jun-2018 - 00:00,333.36,230.97,745.29,127.34,347.11,28.16,20.0,6.28,0.51,0.21,300.63,35.69,2.27,37.21,679.42,,48.16,17.8,16-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Jun-2018 - 00:00,417.14,141.87,746.34,113.95,344.51,30.85,23.78,5.49,0.52,0.17,223.42,53.23,1.38,35.25,750.59,,42.88,9.56,17-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Jun-2018 - 00:00,529.19,93.75,746.92,140.0,355.15,24.36,17.05,5.11,0.66,0.19,96.94,65.01,1.77,32.3,868.05,,40.5,8.68,18-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Jun-2018 - 00:00,617.65,199.35,746.88,121.27,220.43,36.72,25.14,7.0,0.9,0.19,85.97,54.98,1.29,33.37,802.43,,35.24,10.43,19-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Jun-2018 - 00:00,386.54,260.36,746.9,152.99,301.9,29.46,20.13,5.57,0.65,0.2,55.9,54.19,1.37,34.24,675.54,,55.62,7.69,20-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Jun-2018 - 00:00,771.11,113.22,747.16,125.47,311.1,40.08,29.92,10.75,0.78,0.17,70.81,49.05,0.91,36.19,718.27,,45.21,11.53,21-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Jun-2018 - 00:00,,118.6,747.1,127.03,205.95,42.85,28.24,6.81,0.72,-0.15,90.33,44.23,1.0,36.97,652.12,,55.13,10.19,22-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Jun-2018 - 00:00,,90.46,746.5,129.09,434.76,64.75,48.87,18.03,0.89,0.25,100.91,42.16,0.77,38.2,,,47.61,18.06,23-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Jun-2018 - 00:00,,166.57,746.37,119.01,524.08,58.54,44.42,16.6,1.46,0.37,84.73,41.91,1.45,37.82,972.8,,51.75,20.18,24-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Jun-2018 - 00:00,,208.28,746.11,134.11,280.03,36.37,25.17,7.28,0.67,0.39,62.45,38.56,1.36,37.54,951.64,,45.39,16.19,25-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Jun-2018 - 00:00,,271.32,745.18,135.43,289.93,43.4,30.11,8.78,0.65,-0.64,87.74,39.87,1.61,37.76,896.63,,46.24,16.58,26-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Jun-2018 - 00:00,,188.67,745.49,45.88,271.69,39.26,25.94,6.32,0.63,-0.08,62.48,54.76,1.41,34.12,842.71,,44.82,13.73,27-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Jun-2018 - 00:00,,135.35,746.53,105.9,179.37,29.39,20.26,5.78,0.91,0.54,65.14,75.02,1.49,31.93,742.88,,45.58,12.42,28-Jun-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
