from date,CO,Ozone,NO2,NO,NOx,SO2,RH,VWS,WS,WD,PM2.5,SR,Benzene,MP-Xylene,Toluene,O Xylene,Eth-Benzene,to date,BP,station
01-Jan-2019 - 00:00,0.77,60.09,10.83,3.28,14.12,4.75,43.81,0.16,1.09,120.6,35.51,196.19,0.0,,0.25,0.0,0.0,02-Jan-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
02-Jan-2019 - 00:00,0.84,33.65,11.83,3.36,15.19,4.85,46.4,0.14,0.91,111.18,39.59,199.76,0.0,,2.95,0.0,0.09,03-Jan-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
03-Jan-2019 - 00:00,0.76,49.67,14.08,3.5,17.58,4.93,52.72,0.15,0.99,177.97,57.53,183.55,0.0,,2.0,0.0,0.03,04-Jan-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
04-Jan-2019 - 00:00,0.47,61.26,12.87,3.85,16.69,5.47,54.47,0.15,1.08,130.98,53.16,205.25,0.0,,0.78,0.0,0.12,05-Jan-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
05-Jan-2019 - 00:00,0.49,57.95,10.5,5.76,15.9,5.2,51.66,0.15,1.02,153.68,40.27,196.17,0.0,,2.74,0.11,0.33,06-Jan-2019 - 00:00,955.43,"Velachery Res. Area, Chennai - CPCB"
06-Jan-2019 - 00:00,0.58,26.36,14.5,8.7,22.62,5.46,51.32,0.14,0.96,159.64,53.15,204.81,0.0,,4.08,0.24,1.35,07-Jan-2019 - 00:00,955.86,"Velachery Res. Area, Chennai - CPCB"
07-Jan-2019 - 00:00,0.42,41.6,12.49,5.41,17.61,4.78,59.0,0.15,1.04,182.68,50.87,132.45,0.0,,4.25,0.0,0.0,08-Jan-2019 - 00:00,977.31,"Velachery Res. Area, Chennai - CPCB"
08-Jan-2019 - 00:00,0.45,35.26,17.51,8.34,25.36,6.88,58.43,0.15,1.03,175.57,60.95,181.68,0.0,,6.48,0.63,0.84,09-Jan-2019 - 00:00,976.74,"Velachery Res. Area, Chennai - CPCB"
09-Jan-2019 - 00:00,0.37,55.12,12.38,5.22,17.39,5.87,58.37,0.13,0.77,108.08,60.7,199.19,0.0,,1.9,0.0,2.87,10-Jan-2019 - 00:00,979.54,"Velachery Res. Area, Chennai - CPCB"
10-Jan-2019 - 00:00,0.34,49.87,15.18,9.11,23.68,4.57,53.15,0.14,0.91,142.38,54.87,208.14,0.14,,3.87,0.15,0.83,11-Jan-2019 - 00:00,959.08,"Velachery Res. Area, Chennai - CPCB"
11-Jan-2019 - 00:00,0.68,52.86,15.0,9.0,23.4,6.31,50.27,0.15,0.98,122.5,58.71,197.53,0.18,,4.51,0.0,0.88,12-Jan-2019 - 00:00,958.24,"Velachery Res. Area, Chennai - CPCB"
12-Jan-2019 - 00:00,0.91,51.13,12.25,5.65,17.62,6.1,50.14,0.15,1.01,132.43,34.62,204.02,0.0,,2.29,0.17,1.38,13-Jan-2019 - 00:00,985.58,"Velachery Res. Area, Chennai - CPCB"
13-Jan-2019 - 00:00,0.88,60.2,11.81,3.64,15.45,5.84,49.34,0.15,1.07,128.81,35.88,163.52,0.0,,3.99,0.09,0.0,14-Jan-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
14-Jan-2019 - 00:00,1.04,63.24,11.7,3.28,14.98,5.56,47.51,0.15,1.04,142.67,53.55,195.43,2.95,,3.92,0.0,0.0,15-Jan-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
15-Jan-2019 - 00:00,0.82,62.36,10.84,3.26,14.09,6.2,54.38,0.16,1.11,135.72,46.66,177.9,0.0,,1.26,0.0,0.0,16-Jan-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
16-Jan-2019 - 00:00,0.83,57.81,10.11,3.43,13.53,5.25,60.5,0.14,0.88,122.64,46.91,175.22,0.0,,5.2,0.0,0.11,17-Jan-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
17-Jan-2019 - 00:00,0.83,61.14,10.3,3.37,13.67,5.63,61.35,0.14,0.92,144.78,51.23,148.95,0.0,,8.11,0.0,0.0,18-Jan-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
18-Jan-2019 - 00:00,0.93,68.31,10.38,3.58,13.96,5.3,51.24,0.14,0.95,123.28,49.24,192.8,0.37,,4.33,0.15,0.0,19-Jan-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
19-Jan-2019 - 00:00,0.96,51.69,10.75,3.49,14.23,5.67,49.15,0.15,1.04,130.98,41.42,238.32,0.0,,5.44,0.0,0.0,20-Jan-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
20-Jan-2019 - 00:00,0.89,28.99,10.3,3.34,13.64,6.31,53.21,0.14,0.91,161.0,27.56,161.57,0.0,,4.9,0.0,0.0,21-Jan-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
21-Jan-2019 - 00:00,0.97,49.4,10.83,3.36,14.18,5.73,53.81,0.14,0.91,152.0,54.61,146.88,0.0,,7.76,0.0,0.0,22-Jan-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
22-Jan-2019 - 00:00,0.81,46.54,11.55,3.69,15.24,4.79,53.81,0.15,0.9,154.26,52.61,197.01,0.0,,2.96,0.2,0.88,23-Jan-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
23-Jan-2019 - 00:00,0.73,42.99,11.71,3.73,15.44,4.82,58.12,0.14,0.89,151.75,30.08,206.87,0.0,,0.33,0.0,0.55,24-Jan-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
24-Jan-2019 - 00:00,0.98,34.99,11.55,3.61,15.16,4.31,59.91,0.14,0.83,134.89,29.33,209.6,0.0,,1.08,0.0,1.2,25-Jan-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
25-Jan-2019 - 00:00,0.69,32.36,11.21,3.67,14.88,4.75,62.18,0.17,1.1,153.95,17.19,187.56,0.0,,0.63,0.0,0.81,26-Jan-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
26-Jan-2019 - 00:00,0.56,33.66,8.64,3.13,11.76,5.52,59.96,0.17,1.05,95.94,13.45,196.87,0.0,,2.79,0.0,0.0,27-Jan-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
27-Jan-2019 - 00:00,0.98,22.6,9.7,3.31,13.01,4.85,55.75,0.15,0.87,89.72,11.03,268.5,0.0,,0.46,0.0,0.0,28-Jan-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
28-Jan-2019 - 00:00,0.92,43.35,9.32,3.22,12.54,4.23,49.7,0.16,1.05,49.53,10.63,153.68,0.0,,0.53,0.0,0.0,29-Jan-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
29-Jan-2019 - 00:00,1.16,54.08,12.13,3.21,15.34,8.8,51.12,0.19,1.37,137.98,24.78,219.42,0.0,,0.12,0.0,0.0,30-Jan-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
30-Jan-2019 - 00:00,1.12,61.89,10.75,3.17,13.92,5.3,52.82,0.18,1.34,93.46,38.3,161.0,0.0,,0.0,0.0,0.0,31-Jan-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
31-Jan-2019 - 00:00,1.08,52.05,10.54,3.48,14.02,4.43,48.17,0.16,1.04,109.91,32.36,180.21,0.0,,0.0,0.0,0.0,01-Feb-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
01-Feb-2019 - 00:00,1.08,50.81,10.36,3.41,13.77,4.54,46.63,0.16,1.12,80.32,21.93,225.67,0.19,,0.0,0.08,0.47,02-Feb-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
02-Feb-2019 - 00:00,1.01,31.47,10.91,3.31,14.22,5.03,51.55,0.16,1.05,125.31,22.62,236.58,0.0,,1.48,0.1,0.34,03-Feb-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
03-Feb-2019 - 00:00,0.96,36.22,8.14,3.16,11.3,3.99,54.72,0.17,1.24,104.44,24.46,207.21,0.0,,0.0,0.0,0.0,04-Feb-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
04-Feb-2019 - 00:00,0.93,39.6,10.31,3.23,13.54,5.32,54.42,0.18,1.35,36.57,33.3,142.78,0.0,,0.0,0.0,0.0,05-Feb-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
05-Feb-2019 - 00:00,1.04,59.72,10.02,3.17,13.19,4.33,55.28,0.16,1.13,40.87,31.98,198.8,0.0,,0.38,0.0,0.0,06-Feb-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
06-Feb-2019 - 00:00,1.11,51.2,15.1,5.6,14.28,5.2,58.05,0.14,0.82,123.84,35.68,226.53,0.0,,2.36,0.0,0.0,07-Feb-2019 - 00:00,983.57,"Velachery Res. Area, Chennai - CPCB"
07-Feb-2019 - 00:00,1.14,46.42,11.25,3.56,14.81,4.51,58.55,0.15,0.9,172.87,38.5,199.64,0.0,,2.31,0.0,0.0,08-Feb-2019 - 00:00,986.13,"Velachery Res. Area, Chennai - CPCB"
08-Feb-2019 - 00:00,1.08,35.76,11.41,3.65,15.06,5.04,57.35,0.17,1.17,156.85,32.17,185.32,0.0,,2.23,0.0,0.0,09-Feb-2019 - 00:00,989.97,"Velachery Res. Area, Chennai - CPCB"
09-Feb-2019 - 00:00,1.06,20.61,9.85,3.4,13.24,3.68,58.73,0.17,1.06,127.8,29.26,240.86,0.0,,2.38,0.0,0.0,10-Feb-2019 - 00:00,988.39,"Velachery Res. Area, Chennai - CPCB"
10-Feb-2019 - 00:00,0.96,20.56,9.3,3.42,12.71,3.84,60.7,0.15,0.93,95.64,15.13,204.86,0.0,,2.25,0.0,0.0,11-Feb-2019 - 00:00,985.84,"Velachery Res. Area, Chennai - CPCB"
11-Feb-2019 - 00:00,1.12,45.85,8.83,3.12,11.94,4.04,54.96,0.17,1.16,39.16,28.34,149.08,0.0,,2.07,0.0,0.0,12-Feb-2019 - 00:00,988.43,"Velachery Res. Area, Chennai - CPCB"
12-Feb-2019 - 00:00,1.06,75.01,9.01,3.21,12.23,3.51,51.27,0.17,1.2,34.85,31.52,212.75,0.0,,2.28,0.0,0.0,13-Feb-2019 - 00:00,989.33,"Velachery Res. Area, Chennai - CPCB"
13-Feb-2019 - 00:00,0.96,100.35,10.21,3.11,13.32,4.19,45.58,0.18,1.37,29.54,35.57,215.61,0.0,,1.8,0.0,0.51,14-Feb-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
14-Feb-2019 - 00:00,1.11,68.15,10.63,3.27,13.9,4.54,54.11,0.15,0.97,118.29,23.38,222.76,0.0,,0.0,0.0,0.0,15-Feb-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
15-Feb-2019 - 00:00,1.06,41.95,10.08,3.4,13.47,4.25,53.44,0.15,0.98,150.55,14.95,244.26,0.0,,0.0,0.0,0.0,16-Feb-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
16-Feb-2019 - 00:00,1.08,32.32,10.29,3.41,13.7,4.47,55.84,0.22,1.71,180.42,21.77,220.57,0.0,,0.0,0.0,0.0,17-Feb-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
17-Feb-2019 - 00:00,1.03,18.48,10.01,3.41,13.43,4.11,56.51,0.22,1.81,164.62,20.75,228.49,0.0,,0.0,0.0,0.0,18-Feb-2019 - 00:00,975.38,"Velachery Res. Area, Chennai - CPCB"
18-Feb-2019 - 00:00,1.02,21.28,10.63,3.45,14.09,4.1,59.49,0.23,1.9,165.68,16.52,207.98,0.0,,0.0,0.0,0.22,19-Feb-2019 - 00:00,976.78,"Velachery Res. Area, Chennai - CPCB"
19-Feb-2019 - 00:00,0.99,23.8,9.84,3.41,13.24,4.8,57.64,0.19,1.35,131.08,13.36,237.45,0.0,,0.0,0.0,0.2,20-Feb-2019 - 00:00,970.94,"Velachery Res. Area, Chennai - CPCB"
20-Feb-2019 - 00:00,0.91,27.77,9.49,3.38,12.87,4.33,51.54,0.16,0.94,84.86,14.84,231.08,0.0,,0.0,0.0,0.0,21-Feb-2019 - 00:00,965.92,"Velachery Res. Area, Chennai - CPCB"
21-Feb-2019 - 00:00,0.95,28.95,9.99,3.52,13.51,4.12,52.5,0.15,0.95,121.47,22.06,239.09,0.0,,0.0,0.0,0.0,22-Feb-2019 - 00:00,964.56,"Velachery Res. Area, Chennai - CPCB"
22-Feb-2019 - 00:00,1.1,35.65,10.6,3.58,14.19,4.4,47.58,0.14,0.86,141.76,17.61,245.21,0.0,,0.0,0.0,0.0,23-Feb-2019 - 00:00,963.26,"Velachery Res. Area, Chennai - CPCB"
23-Feb-2019 - 00:00,1.14,43.63,15.63,6.66,22.28,4.56,43.8,0.15,0.92,158.0,19.5,255.5,0.0,,0.0,0.0,0.04,24-Feb-2019 - 00:00,965.01,"Velachery Res. Area, Chennai - CPCB"
24-Feb-2019 - 00:00,1.07,40.77,12.96,2.44,15.02,5.03,52.06,0.17,1.14,151.91,19.19,237.47,0.0,,0.0,0.0,0.19,25-Feb-2019 - 00:00,967.76,"Velachery Res. Area, Chennai - CPCB"
25-Feb-2019 - 00:00,1.13,38.15,15.38,3.1,18.38,4.74,47.63,0.23,1.88,177.95,21.36,249.42,0.0,,0.0,0.0,0.0,26-Feb-2019 - 00:00,976.34,"Velachery Res. Area, Chennai - CPCB"
26-Feb-2019 - 00:00,1.19,24.62,15.21,3.58,18.78,4.22,51.31,0.26,2.3,183.78,31.54,219.05,0.0,,0.85,0.0,0.0,27-Feb-2019 - 00:00,981.42,"Velachery Res. Area, Chennai - CPCB"
27-Feb-2019 - 00:00,0.99,22.17,12.72,3.93,16.64,4.55,51.36,0.29,2.66,167.33,13.85,219.22,0.0,,0.09,0.0,0.0,28-Feb-2019 - 00:00,985.29,"Velachery Res. Area, Chennai - CPCB"
28-Feb-2019 - 00:00,1.2,19.1,21.1,15.38,28.02,3.4,54.84,0.24,2.16,166.02,24.64,182.43,0.03,,4.89,0.0,0.18,01-Mar-2019 - 00:00,978.25,"Velachery Res. Area, Chennai - CPCB"
01-Mar-2019 - 00:00,0.6,16.98,10.32,8.37,18.42,4.91,54.08,0.19,1.35,130.5,35.52,207.78,0.0,,0.0,63.89,8.09,02-Mar-2019 - 00:00,971.57,"Velachery Res. Area, Chennai - CPCB"
02-Mar-2019 - 00:00,0.41,23.23,7.51,7.89,14.75,1.86,44.49,0.16,0.96,95.49,27.81,267.27,0.0,,13.92,0.97,5.57,03-Mar-2019 - 00:00,966.17,"Velachery Res. Area, Chennai - CPCB"
03-Mar-2019 - 00:00,0.54,21.84,8.22,9.6,17.82,3.91,49.62,0.15,0.85,127.81,19.67,235.87,0.0,,0.18,0.0,3.08,04-Mar-2019 - 00:00,965.21,"Velachery Res. Area, Chennai - CPCB"
04-Mar-2019 - 00:00,0.77,23.19,11.31,10.59,21.9,3.75,50.0,0.24,2.0,174.73,30.49,248.46,0.0,,5.78,0.03,5.97,05-Mar-2019 - 00:00,977.76,"Velachery Res. Area, Chennai - CPCB"
05-Mar-2019 - 00:00,0.84,22.93,9.06,10.09,19.16,4.01,52.91,0.29,2.7,178.11,35.24,250.46,0.0,,6.11,0.2,2.93,06-Mar-2019 - 00:00,985.65,"Velachery Res. Area, Chennai - CPCB"
06-Mar-2019 - 00:00,0.89,23.18,9.71,10.49,20.2,3.45,51.12,0.31,3.0,178.85,29.71,248.06,0.0,,6.95,0.0,1.34,07-Mar-2019 - 00:00,989.53,"Velachery Res. Area, Chennai - CPCB"
07-Mar-2019 - 00:00,0.79,23.16,12.86,11.05,23.9,2.99,51.73,0.31,3.02,171.47,32.12,242.34,0.0,,4.8,0.0,0.2,08-Mar-2019 - 00:00,989.41,"Velachery Res. Area, Chennai - CPCB"
08-Mar-2019 - 00:00,0.7,22.94,12.15,11.07,23.22,3.36,57.35,0.27,2.42,153.54,30.14,244.87,0.0,,2.52,0.0,0.58,09-Mar-2019 - 00:00,982.87,"Velachery Res. Area, Chennai - CPCB"
09-Mar-2019 - 00:00,0.69,22.4,11.23,11.03,22.26,3.73,55.25,0.24,2.07,147.33,22.6,243.06,0.0,,1.87,0.45,0.11,10-Mar-2019 - 00:00,978.78,"Velachery Res. Area, Chennai - CPCB"
10-Mar-2019 - 00:00,0.64,23.54,10.27,11.02,21.3,3.26,53.29,0.26,2.37,165.0,16.0,253.14,0.0,,0.42,0.0,0.0,11-Mar-2019 - 00:00,981.64,"Velachery Res. Area, Chennai - CPCB"
11-Mar-2019 - 00:00,0.73,23.17,11.13,11.25,22.38,3.13,49.84,0.23,2.01,160.05,19.51,248.01,0.0,,1.53,0.14,0.0,12-Mar-2019 - 00:00,977.39,"Velachery Res. Area, Chennai - CPCB"
12-Mar-2019 - 00:00,0.73,25.15,12.31,11.23,23.54,3.34,47.08,0.23,1.87,176.41,36.07,263.01,0.0,,0.99,0.0,0.0,13-Mar-2019 - 00:00,976.6,"Velachery Res. Area, Chennai - CPCB"
13-Mar-2019 - 00:00,0.73,31.88,12.44,11.23,23.67,3.25,47.68,0.18,1.33,175.26,48.26,279.14,0.0,,19.3,0.0,0.0,14-Mar-2019 - 00:00,970.21,"Velachery Res. Area, Chennai - CPCB"
14-Mar-2019 - 00:00,0.86,36.37,17.99,11.26,29.25,3.38,40.33,0.19,1.47,168.81,53.58,267.35,0.08,,11.45,0.0,0.33,15-Mar-2019 - 00:00,970.97,"Velachery Res. Area, Chennai - CPCB"
15-Mar-2019 - 00:00,0.74,41.28,14.08,11.29,25.37,3.12,40.93,0.16,0.99,139.07,55.48,260.78,0.0,,5.42,0.0,0.4,16-Mar-2019 - 00:00,966.16,"Velachery Res. Area, Chennai - CPCB"
16-Mar-2019 - 00:00,0.62,37.58,11.89,11.25,23.15,3.43,44.52,0.17,1.04,146.83,45.63,251.05,0.0,,0.55,0.16,0.0,17-Mar-2019 - 00:00,967.24,"Velachery Res. Area, Chennai - CPCB"
17-Mar-2019 - 00:00,0.69,36.59,11.36,11.43,22.79,3.1,43.75,0.17,1.09,158.79,34.01,277.04,0.0,,0.0,0.0,0.0,18-Mar-2019 - 00:00,967.66,"Velachery Res. Area, Chennai - CPCB"
18-Mar-2019 - 00:00,0.8,26.41,10.77,9.15,19.01,3.64,57.37,0.19,1.29,180.39,43.31,278.64,0.0,,1.26,0.0,0.0,19-Mar-2019 - 00:00,971.18,"Velachery Res. Area, Chennai - CPCB"
19-Mar-2019 - 00:00,1.03,23.5,14.73,4.26,10.83,4.4,39.49,0.24,2.09,206.2,40.76,264.47,0.0,,1.24,0.0,0.0,20-Mar-2019 - 00:00,979.04,"Velachery Res. Area, Chennai - CPCB"
20-Mar-2019 - 00:00,0.84,37.51,10.77,2.63,13.39,4.59,96.65,0.26,2.34,219.77,24.28,247.86,0.0,,2.31,0.0,0.0,21-Mar-2019 - 00:00,981.52,"Velachery Res. Area, Chennai - CPCB"
21-Mar-2019 - 00:00,0.85,34.72,10.26,2.51,12.75,4.33,82.12,0.24,2.0,210.42,28.88,267.14,0.0,,0.12,0.0,0.0,22-Mar-2019 - 00:00,977.92,"Velachery Res. Area, Chennai - CPCB"
22-Mar-2019 - 00:00,0.88,37.71,9.64,2.57,12.21,4.5,43.67,0.24,2.02,206.09,30.13,247.36,0.0,,0.0,0.0,0.0,23-Mar-2019 - 00:00,978.01,"Velachery Res. Area, Chennai - CPCB"
23-Mar-2019 - 00:00,0.87,27.03,8.79,2.51,11.28,4.54,41.6,0.25,2.24,212.28,32.65,288.67,0.0,,1.19,0.0,0.0,24-Mar-2019 - 00:00,980.06,"Velachery Res. Area, Chennai - CPCB"
24-Mar-2019 - 00:00,0.84,5.12,7.94,2.23,10.17,4.58,41.74,0.27,2.42,216.27,20.41,285.93,0.0,,0.0,0.0,0.0,25-Mar-2019 - 00:00,982.36,"Velachery Res. Area, Chennai - CPCB"
25-Mar-2019 - 00:00,0.87,37.4,8.21,2.61,10.81,4.94,42.28,0.2,1.51,189.96,33.04,274.5,0.0,,0.64,0.24,0.1,26-Mar-2019 - 00:00,972.21,"Velachery Res. Area, Chennai - CPCB"
26-Mar-2019 - 00:00,0.84,59.41,9.03,2.46,11.49,4.07,37.59,0.23,1.96,205.68,28.91,275.18,0.0,,0.0,0.0,0.0,27-Mar-2019 - 00:00,977.05,"Velachery Res. Area, Chennai - CPCB"
27-Mar-2019 - 00:00,0.89,58.78,9.24,2.56,11.8,3.8,38.19,0.23,1.87,215.47,29.44,286.4,0.0,,0.0,0.0,0.0,28-Mar-2019 - 00:00,976.5,"Velachery Res. Area, Chennai - CPCB"
28-Mar-2019 - 00:00,0.85,59.12,10.73,2.57,13.3,4.44,38.67,0.23,1.91,217.32,28.56,273.63,0.0,,0.22,0.0,1.38,29-Mar-2019 - 00:00,977.0,"Velachery Res. Area, Chennai - CPCB"
29-Mar-2019 - 00:00,0.85,59.44,10.33,2.66,12.98,4.6,42.12,0.25,2.21,214.98,38.4,278.52,0.0,,0.0,0.24,0.0,30-Mar-2019 - 00:00,979.66,"Velachery Res. Area, Chennai - CPCB"
30-Mar-2019 - 00:00,0.84,45.32,9.93,2.63,12.56,3.76,39.53,0.27,2.46,216.68,24.95,269.28,0.0,,0.0,0.0,0.0,31-Mar-2019 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
